Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K),Lambda,Phi (φ),CA10 (deg),CA50 (deg),CA90 (deg),SOC (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),KnockIdx,Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),η_ind (%)
1000,1.0,204.45,21.41,28.711,26.331,1.706,7.898,7.344,0.037,0.517,286.847,5.271,0.051,0.13,0.001,886.356,8.605,21.8,0.172,52.243,2365.727,1.05,0.952,-2.928,4.999,13.364,-12.0,20.845,16.292,0.188,6.331,2.279,1.427,0.567,0.461,32.029
1100,1.0,208.711,24.042,32.241,29.144,1.897,8.055,7.497,0.038,0.52,284.088,5.862,0.059,0.145,0.001,877.833,8.807,21.704,0.17,52.917,2381.719,1.045,0.957,-2.941,4.974,13.327,-12.0,20.797,16.268,0.191,6.974,2.067,1.443,0.564,0.47,32.31
1200,1.0,212.836,26.746,35.867,31.99,2.092,8.208,7.645,0.038,0.524,281.649,6.466,0.067,0.161,0.001,870.294,9.013,21.631,0.169,53.597,2397.267,1.04,0.962,-2.958,4.943,13.281,-12.0,20.737,16.239,0.193,7.622,1.891,1.459,0.562,0.479,32.564
1300,1.0,216.854,29.522,39.589,34.868,2.292,8.357,7.789,0.039,0.528,279.469,7.082,0.076,0.177,0.001,863.559,9.222,21.575,0.168,54.283,2412.445,1.035,0.966,-2.977,4.907,13.227,-12.0,20.668,16.204,0.195,8.274,1.741,1.476,0.561,0.487,32.796
1400,1.0,221.693,32.502,43.586,37.779,2.495,8.536,7.963,0.04,0.533,276.37,7.71,0.085,0.194,0.001,853.985,9.397,21.446,0.166,54.974,2427.305,1.03,0.971,-2.998,4.868,13.168,-12.0,20.592,16.166,0.198,8.932,1.602,1.491,0.554,0.498,33.134
1500,1.0,225.556,35.43,47.513,40.723,2.703,8.68,8.102,0.04,0.538,274.615,8.351,0.095,0.211,0.002,848.56,9.612,21.42,0.165,55.67,2441.899,1.025,0.976,-3.021,4.825,13.105,-12.0,20.51,16.126,0.2,9.594,1.492,1.508,0.553,0.506,33.329
1600,1.0,229.362,38.43,51.535,43.699,2.914,8.823,8.239,0.041,0.543,273.017,9.006,0.105,0.228,0.002,843.622,9.829,21.405,0.164,56.371,2456.249,1.02,0.98,-3.044,4.781,13.038,-12.0,20.423,16.083,0.202,10.261,1.395,1.525,0.553,0.514,33.509
1700,1.0,234.033,41.663,55.871,46.708,3.13,8.997,8.406,0.042,0.548,270.495,9.673,0.116,0.247,0.002,835.83,10.008,21.315,0.162,57.079,2470.407,1.015,0.985,-3.069,4.734,12.969,-12.0,20.333,16.038,0.204,10.933,1.301,1.54,0.548,0.525,33.8
1800,1.0,237.758,44.816,60.1,49.75,3.351,9.137,8.54,0.043,0.554,269.166,10.354,0.127,0.265,0.002,831.724,10.228,21.318,0.161,57.792,2484.382,1.01,0.99,-3.095,4.686,12.897,-12.0,20.241,15.992,0.206,11.609,1.225,1.558,0.549,0.533,33.956
1900,1.0,241.454,48.041,64.425,52.825,3.576,9.276,8.673,0.043,0.56,267.941,11.049,0.139,0.285,0.002,827.938,10.45,21.328,0.161,58.51,2498.207,1.005,0.995,-3.121,4.637,12.824,-12.0,20.146,15.945,0.208,12.29,1.158,1.575,0.55,0.541,34.102
2000,1.0,246.043,51.531,69.104,55.932,3.805,9.448,8.838,0.044,0.566,265.812,11.757,0.152,0.304,0.002,821.359,10.632,21.265,0.159,59.233,2511.891,1.0,1.0,-3.148,4.587,12.749,-12.0,20.049,15.897,0.21,12.976,1.09,1.592,0.545,0.551,34.359
