Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K),Lambda,Phi (φ),CA10 (deg),CA50 (deg),CA90 (deg),SOC (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),KnockIdx,Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),η_ind (%)
2100,1.0,249.699,54.912,73.638,59.072,4.039,9.587,8.969,0.045,0.573,264.775,12.48,0.166,0.321,0.002,818.156,10.856,21.076,0.159,59.962,2525.455,0.995,1.005,-3.175,4.536,12.674,-12.0,19.951,15.849,0.212,13.666,1.035,1.61,0.546,0.559,34.487
2200,1.0,254.264,58.578,78.555,62.244,4.277,9.759,9.133,0.045,0.58,262.854,13.216,0.18,0.339,0.003,812.218,11.04,20.818,0.158,60.697,2538.922,0.99,1.01,-3.202,4.485,12.597,-12.0,19.852,15.8,0.214,14.362,0.979,1.626,0.542,0.569,34.727
2300,1.0,257.899,62.116,83.3,65.45,4.52,9.897,9.264,0.046,0.588,261.969,13.967,0.194,0.356,0.003,809.483,11.265,20.643,0.157,61.436,2552.413,0.985,1.015,-3.23,4.433,12.52,-12.0,19.752,15.75,0.215,15.062,0.934,1.644,0.544,0.577,34.841
2400,1.0,261.527,65.729,88.144,68.688,4.768,10.036,9.394,0.047,0.595,261.144,14.733,0.21,0.374,0.003,806.934,11.49,20.474,0.157,62.181,2565.845,0.98,1.02,-3.257,4.381,12.443,-12.0,19.652,15.7,0.217,15.766,0.893,1.663,0.546,0.585,34.949
2500,1.0,266.086,69.661,93.417,71.958,5.021,10.209,9.558,0.048,0.603,259.46,15.514,0.226,0.392,0.003,801.73,11.676,20.238,0.156,62.932,2579.202,0.975,1.026,-3.285,4.329,12.365,-12.0,19.551,15.65,0.219,16.476,0.849,1.68,0.542,0.595,35.168
2600,1.0,268.998,73.24,98.217,75.11,5.268,10.322,9.662,0.048,0.612,258.916,16.277,0.242,0.409,0.003,800.05,11.91,20.092,0.155,63.57,2592.811,0.97,1.031,-3.313,4.277,12.287,-12.0,19.45,15.6,0.22,17.19,0.818,1.696,0.544,0.602,35.248
2700,1.0,272.842,77.144,103.452,78.282,5.518,10.47,9.801,0.049,0.62,257.524,17.052,0.259,0.426,0.003,795.749,12.104,19.881,0.155,64.212,2606.366,0.965,1.036,-3.341,4.224,12.208,-12.0,19.349,15.55,0.221,17.909,0.784,1.71,0.54,0.61,35.438
2800,1.0,276.327,81.023,108.654,81.607,5.783,10.605,9.926,0.05,0.629,256.939,17.869,0.278,0.444,0.003,793.94,12.333,19.733,0.154,64.957,2619.648,0.96,1.042,-3.369,4.172,12.13,-12.0,19.247,15.499,0.223,18.633,0.755,1.728,0.542,0.618,35.523
2900,1.0,280.399,85.153,114.193,85.097,6.062,10.761,10.072,0.05,0.639,256.267,18.731,0.297,0.463,0.004,791.866,12.557,19.579,0.154,65.806,2632.808,0.955,1.047,-3.397,4.119,12.052,-12.0,19.146,15.449,0.224,19.361,0.725,1.75,0.546,0.627,35.616
3000,1.0,285.439,89.673,120.254,88.627,6.346,10.952,10.253,0.051,0.648,254.779,19.61,0.317,0.482,0.004,787.268,12.739,19.363,0.153,66.662,2645.945,0.95,1.053,-3.425,4.067,11.973,-12.0,19.044,15.399,0.225,20.094,0.692,1.77,0.542,0.639,35.817
3100,1.0,289.395,93.947,125.984,92.16,6.634,11.105,10.395,0.052,0.658,254.224,20.5,0.338,0.502,0.004,785.551,12.965,19.219,0.153,67.501,2659.128,0.945,1.058,-3.453,4.015,11.895,-12.0,18.943,15.349,0.226,20.832,0.667,1.791,0.546,0.647,35.899
3200,1.0,294.33,98.631,132.266,95.731,6.928,11.293,10.572,0.052,0.668,252.87,21.407,0.36,0.521,0.004,781.368,13.149,19.016,0.152,68.347,2672.299,0.94,1.064,-3.481,3.962,11.817,-12.0,18.842,15.298,0.226,21.574,0.638,1.811,0.542,0.658,36.088
3300,1.0,298.096,103.015,138.145,99.281,7.223,11.44,10.708,0.053,0.679,252.43,22.32,0.383,0.54,0.004,780.01,13.379,18.882,0.151,69.163,2685.537,0.935,1.07,-3.509,3.91,11.74,-12.0,18.741,15.249,0.227,22.321,0.617,1.832,0.546,0.667,36.157
3400,1.0,301.652,107.402,144.029,102.806,7.52,11.579,10.835,0.054,0.69,252.062,23.237,0.406,0.559,0.005,778.871,13.611,18.753,0.151,69.949,2699.0,0.93,1.075,-3.537,3.858,11.662,-12.0,18.641,15.199,0.228,23.073,0.598,1.851,0.549,0.675,36.219
3500,1.0,306.204,112.23,150.503,106.361,7.822,11.755,10.999,0.054,0.701,250.91,24.17,0.43,0.579,0.005,775.311,13.8,18.567,0.151,70.74,2712.51,0.925,1.081,-3.564,3.806,11.585,-12.0,18.541,15.149,0.228,23.829,0.576,1.87,0.546,0.685,36.387
3600,1.0,309.186,116.56,156.31,109.778,8.117,11.874,11.106,0.055,0.713,250.705,25.082,0.455,0.597,0.005,774.677,14.039,18.452,0.15,71.436,2726.244,0.92,1.087,-3.592,3.755,11.508,-12.0,18.441,15.1,0.229,24.59,0.562,1.887,0.549,0.692,36.432
3700,1.0,313.168,121.341,162.721,113.216,8.417,12.03,11.249,0.056,0.725,249.727,26.009,0.48,0.616,0.005,771.657,14.234,18.28,0.15,72.143,2739.99,0.915,1.093,-3.619,3.703,11.431,-12.0,18.342,15.05,0.229,25.356,0.544,1.903,0.545,0.701,36.583
3800,1.0,316.023,125.757,168.643,116.631,8.719,12.145,11.352,0.057,0.737,249.59,26.941,0.506,0.635,0.005,771.233,14.476,18.17,0.15,72.83,2753.793,0.91,1.099,-3.647,3.652,11.354,-12.0,18.243,15.001,0.229,26.127,0.531,1.92,0.548,0.708,36.621
3900,1.0,318.733,130.173,174.565,120.019,9.022,12.256,11.449,0.057,0.75,249.498,27.877,0.532,0.653,0.005,770.948,14.72,18.064,0.15,73.496,2767.825,0.905,1.105,-3.674,3.601,11.278,-12.0,18.144,14.952,0.229,26.902,0.521,1.936,0.552,0.715,36.654
4000,1.0,322.459,135.071,181.133,123.424,9.329,12.403,11.583,0.058,0.762,248.644,28.827,0.56,0.672,0.006,768.31,14.919,17.902,0.149,74.166,2781.918,0.9,1.111,-3.701,3.55,11.203,-12.0,18.046,14.904,0.229,27.682,0.506,1.951,0.547,0.723,36.792
4100,1.0,323.534,138.91,186.281,126.653,9.594,12.456,11.621,0.059,0.776,248.652,29.647,0.58,0.689,0.006,768.334,15.019,17.863,0.149,74.559,2790.196,0.898,1.114,-3.728,3.5,11.127,-12.0,17.948,14.855,0.229,28.466,0.496,1.958,0.548,0.726,36.824
4200,1.0,325.597,143.205,192.041,129.889,9.862,12.544,11.695,0.059,0.789,247.909,30.472,0.6,0.707,0.006,766.038,15.073,17.77,0.149,74.951,2798.393,0.896,1.116,-3.755,3.449,11.052,-12.0,17.851,14.807,0.228,29.256,0.482,1.964,0.542,0.731,36.96
4300,1.0,326.415,146.983,197.107,133.057,10.125,12.588,11.725,0.06,0.803,247.981,31.285,0.62,0.724,0.006,766.261,15.176,17.736,0.149,75.304,2806.637,0.894,1.119,-3.782,3.399,10.977,-12.0,17.754,14.759,0.228,30.05,0.474,1.97,0.543,0.734,36.986
4400,1.0,326.979,150.661,202.04,136.151,10.383,12.623,11.745,0.061,0.817,248.108,32.085,0.64,0.741,0.006,766.654,15.283,17.705,0.149,75.621,2815.065,0.892,1.121,-3.808,3.349,10.902,-12.0,17.657,14.711,0.228,30.849,0.467,1.975,0.544,0.736,37.006
4500,1.0,328.532,154.817,207.613,139.246,10.643,12.694,11.801,0.062,0.832,247.49,32.888,0.66,0.758,0.006,764.744,15.344,17.621,0.148,75.937,2823.407,0.89,1.124,-3.835,3.299,10.828,-12.0,17.561,14.663,0.228,31.653,0.457,1.979,0.537,0.74,37.131
4600,1.0,328.834,158.403,212.422,142.259,10.898,12.72,11.812,0.062,0.846,247.68,33.675,0.68,0.774,0.007,765.33,15.455,17.595,0.149,76.213,2831.771,0.888,1.126,-3.861,3.25,10.754,-12.0,17.465,14.616,0.228,32.462,0.451,1.983,0.538,0.742,37.145
4700,1.0,330.119,162.479,217.888,145.27,11.154,12.782,11.858,0.063,0.862,247.132,34.465,0.7,0.791,0.007,763.638,15.52,17.517,0.148,76.487,2840.058,0.886,1.129,-3.888,3.2,10.68,-12.0,17.37,14.568,0.227,33.275,0.441,1.985,0.532,0.745,37.264
4800,1.0,330.394,166.074,222.709,148.277,11.41,12.808,11.868,0.064,0.877,247.345,35.258,0.721,0.807,0.007,764.296,15.632,17.492,0.148,76.759,2848.429,0.884,1.131,-3.914,3.151,10.607,-12.0,17.275,14.521,0.227,34.093,0.436,1.989,0.532,0.747,37.276
4900,1.0,330.652,169.666,227.526,151.28,11.668,12.834,11.877,0.064,0.893,247.572,36.054,0.742,0.823,0.007,764.998,15.746,17.469,0.149,77.029,2856.796,0.882,1.134,-3.94,3.102,10.534,-12.0,17.181,14.474,0.227,34.916,0.432,1.993,0.533,0.748,37.288
5000,1.0,331.898,173.781,233.044,154.28,11.926,12.896,11.922,0.065,0.909,247.063,36.852,0.763,0.84,0.007,763.425,15.812,17.393,0.148,77.3,2865.098,0.88,1.136,-3.966,3.054,10.462,-12.0,17.086,14.428,0.226,35.744,0.423,1.995,0.527,0.752,37.403
5100,1.0,331.402,176.992,237.351,157.276,12.158,12.895,11.904,0.066,0.925,247.292,37.568,0.778,0.856,0.007,764.132,15.827,17.409,0.148,77.45,2869.087,0.88,1.136,-3.992,3.005,10.389,-12.0,16.993,14.381,0.226,36.577,0.418,1.995,0.527,0.752,37.422
5200,1.0,330.887,180.182,241.628,160.269,12.389,12.894,11.885,0.066,0.942,247.536,38.283,0.793,0.872,0.007,764.887,15.842,17.427,0.149,77.596,2873.034,0.88,1.136,-4.018,2.957,10.317,-12.0,16.899,14.335,0.226,37.414,0.412,1.994,0.526,0.752,37.441
5300,1.0,331.355,183.907,246.623,163.258,12.62,12.929,11.902,0.067,0.959,247.047,38.997,0.808,0.888,0.008,763.374,15.811,17.392,0.148,77.739,2877.057,0.88,1.136,-4.043,2.909,10.245,-12.0,16.806,14.289,0.226,38.257,0.403,1.992,0.519,0.754,37.562
5400,1.0,330.812,187.07,250.865,166.244,12.851,12.927,11.883,0.068,0.977,247.311,39.71,0.822,0.905,0.008,764.192,15.828,17.411,0.148,77.881,2880.997,0.88,1.136,-4.069,2.861,10.174,-12.0,16.714,14.243,0.226,39.104,0.398,1.992,0.519,0.754,37.58
5500,1.0,331.241,190.781,255.842,169.226,13.082,12.961,11.898,0.068,0.994,246.85,40.423,0.837,0.921,0.008,762.768,15.798,17.378,0.148,78.019,2884.84,0.88,1.136,-4.094,2.813,10.103,-12.0,16.622,14.197,0.226,39.956,0.39,1.989,0.511,0.756,37.7
5600,1.0,330.668,193.914,260.043,172.205,13.312,12.959,11.878,0.069,1.012,247.137,41.134,0.852,0.937,0.008,763.654,15.817,17.398,0.148,78.155,2888.582,0.88,1.136,-4.12,2.766,10.032,-12.0,16.531,14.152,0.226,40.813,0.386,1.989,0.511,0.756,37.716
5700,1.0,330.076,197.023,264.213,175.18,13.542,12.957,11.856,0.07,1.031,247.439,41.845,0.867,0.953,0.008,764.588,15.836,17.42,0.148,78.294,2892.428,0.88,1.136,-4.145,2.719,9.962,-12.0,16.44,14.107,0.226,41.675,0.381,1.988,0.511,0.755,37.731
5800,1.0,330.455,200.71,269.156,178.152,13.772,12.99,11.87,0.071,1.05,247.015,42.555,0.881,0.97,0.008,763.277,15.809,17.39,0.148,78.432,2896.213,0.88,1.136,-4.17,2.672,9.892,-12.0,16.349,14.062,0.226,42.541,0.373,1.986,0.503,0.757,37.849
5900,1.0,329.838,203.789,273.286,181.12,14.001,12.988,11.848,0.071,1.069,247.336,43.264,0.896,0.986,0.008,764.268,15.829,17.412,0.148,78.568,2899.926,0.88,1.136,-4.195,2.626,9.823,-12.0,16.259,14.017,0.226,43.413,0.369,1.986,0.503,0.757,37.863
6000,1.0,329.204,206.845,277.383,184.085,14.23,12.985,11.825,0.072,1.088,247.671,43.972,0.911,1.002,0.009,765.304,15.851,17.436,0.149,78.701,2903.545,0.88,1.136,-4.219,2.579,9.754,-12.0,16.17,13.973,0.226,44.289,0.366,1.985,0.503,0.757,37.877
6100,1.0,329.537,210.505,282.292,187.046,14.459,13.017,11.837,0.073,1.108,247.28,44.679,0.925,1.018,0.009,764.094,15.826,17.408,0.148,78.831,2907.161,0.88,1.136,-4.244,2.533,9.685,-12.0,16.081,13.929,0.226,45.17,0.358,1.983,0.496,0.759,37.993
6200,1.0,328.875,213.526,286.343,190.004,14.688,13.014,11.813,0.073,1.128,247.636,45.386,0.94,1.034,0.009,765.194,15.849,17.434,0.149,78.959,2910.829,0.88,1.136,-4.268,2.487,9.616,-12.0,15.992,13.885,0.226,46.055,0.355,1.982,0.496,0.759,38.005
6300,1.0,328.196,216.522,290.361,192.958,14.916,13.011,11.789,0.074,1.148,248.006,46.091,0.955,1.05,0.009,766.339,15.872,17.46,0.149,79.087,2914.408,0.88,1.136,-4.293,2.442,9.548,-12.0,15.904,13.841,0.226,46.946,0.351,1.982,0.496,0.759,38.017
6400,1.0,328.484,220.152,295.229,195.908,15.144,13.043,11.799,0.075,1.169,247.647,46.796,0.969,1.066,0.009,765.228,15.849,17.434,0.149,79.217,2917.915,0.88,1.136,-4.317,2.396,9.481,-12.0,15.816,13.798,0.226,47.841,0.344,1.979,0.489,0.76,38.132
6500,1.0,327.783,223.115,299.202,198.856,15.372,13.039,11.774,0.076,1.19,248.035,47.5,0.984,1.082,0.009,766.427,15.874,17.462,0.149,79.345,2921.335,0.88,1.136,-4.341,2.351,9.414,-12.0,15.729,13.754,0.226,48.741,0.341,1.979,0.489,0.76,38.143
6600,1.0,327.065,226.051,303.14,201.799,15.6,13.035,11.748,0.076,1.211,248.437,48.203,0.998,1.098,0.009,767.669,15.9,17.49,0.149,79.47,2924.873,0.88,1.136,-4.365,2.306,9.347,-12.0,15.643,13.711,0.226,49.646,0.338,1.979,0.489,0.76,38.154
6700,1.0,327.309,229.647,307.962,204.74,15.827,13.066,11.757,0.077,1.233,248.109,48.906,1.013,1.114,0.009,766.658,15.879,17.467,0.149,79.593,2928.357,0.88,1.136,-4.389,2.262,9.28,-12.0,15.557,13.669,0.226,50.556,0.332,1.976,0.482,0.762,38.267
6800,1.0,326.566,232.546,311.849,207.676,16.054,13.062,11.73,0.078,1.254,248.531,49.607,1.027,1.13,0.01,767.961,15.906,17.497,0.149,79.713,2931.754,0.88,1.136,-4.412,2.218,9.214,-12.0,15.471,13.626,0.226,51.471,0.329,1.976,0.482,0.762,38.277
6900,1.0,325.81,235.419,315.702,210.61,16.281,13.058,11.703,0.078,1.277,248.965,50.308,1.042,1.146,0.01,769.303,15.934,17.527,0.149,79.831,2935.083,0.88,1.136,-4.436,2.173,9.148,-12.0,15.386,13.584,0.226,52.39,0.326,1.975,0.482,0.761,38.287
7000,1.0,326.012,238.979,320.476,213.539,16.507,13.089,11.71,0.079,1.299,248.668,51.008,1.056,1.162,0.01,768.385,15.915,17.506,0.149,79.953,2938.384,0.88,1.136,-4.459,2.13,9.083,-12.0,15.301,13.542,0.226,53.314,0.32,1.973,0.475,0.763,38.398
