Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K),Lambda,Phi (φ),CA10 (deg),CA50 (deg),CA90 (deg),SOC (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),KnockIdx,Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),η_ind (%)
1000,1.0,205.113,21.479,28.804,26.331,1.706,7.922,7.368,0.037,0.517,285.92,5.271,0.051,0.13,0.001,883.492,8.578,21.73,0.172,49.443,2344.333,1.05,0.952,-0.924,7.007,15.376,-10.0,22.86,16.299,0.185,6.328,2.07,1.427,0.557,0.462,32.126
1100,1.0,209.346,24.115,32.339,29.144,1.897,8.078,7.52,0.038,0.52,283.226,5.862,0.059,0.145,0.001,875.168,8.78,21.638,0.17,50.078,2360.137,1.045,0.957,-0.937,6.982,15.338,-10.0,22.811,16.275,0.188,6.971,1.876,1.443,0.554,0.471,32.402
1200,1.0,213.452,26.823,35.97,31.99,2.092,8.23,7.667,0.038,0.524,280.836,6.466,0.067,0.161,0.001,867.782,8.987,21.568,0.169,50.721,2375.505,1.04,0.962,-0.954,6.95,15.291,-10.0,22.75,16.245,0.19,7.619,1.715,1.459,0.552,0.48,32.652
1300,1.0,217.455,29.603,39.699,34.868,2.292,8.379,7.811,0.039,0.528,278.696,7.082,0.076,0.177,0.001,861.172,9.197,21.515,0.167,51.37,2390.498,1.035,0.966,-0.973,6.914,15.237,-10.0,22.68,16.21,0.192,8.271,1.578,1.476,0.551,0.489,32.88
1400,1.0,222.237,32.582,43.693,37.779,2.495,8.555,7.983,0.04,0.533,275.693,7.71,0.085,0.194,0.001,851.892,9.374,21.394,0.165,52.025,2405.185,1.03,0.971,-0.995,6.874,15.177,-10.0,22.603,16.172,0.195,8.929,1.453,1.491,0.544,0.499,33.21
1500,1.0,226.095,35.515,47.626,40.723,2.703,8.7,8.121,0.04,0.538,273.961,8.351,0.095,0.211,0.002,846.538,9.589,21.369,0.164,52.686,2419.599,1.025,0.976,-1.018,6.831,15.113,-10.0,22.52,16.131,0.197,9.591,1.352,1.508,0.544,0.507,33.403
1600,1.0,229.9,38.52,51.656,43.699,2.914,8.842,8.258,0.041,0.543,272.378,9.006,0.105,0.228,0.002,841.646,9.806,21.354,0.163,53.352,2433.789,1.02,0.98,-1.042,6.786,15.046,-10.0,22.433,16.088,0.199,10.258,1.264,1.525,0.544,0.516,33.582
1700,1.0,234.523,41.751,55.989,46.708,3.13,9.014,8.424,0.042,0.548,269.929,9.673,0.116,0.247,0.002,834.081,9.987,21.27,0.162,54.024,2447.769,1.015,0.985,-1.067,6.739,14.976,-10.0,22.343,16.043,0.201,10.929,1.178,1.54,0.538,0.526,33.866
1800,1.0,238.253,44.91,60.225,49.75,3.351,9.155,8.558,0.043,0.554,268.607,10.354,0.127,0.265,0.002,829.997,10.207,21.274,0.161,54.701,2461.578,1.01,0.99,-1.092,6.691,14.904,-10.0,22.25,15.997,0.203,11.606,1.11,1.558,0.539,0.534,34.022
1900,1.0,241.954,48.141,64.558,52.825,3.576,9.294,8.691,0.043,0.56,267.387,11.049,0.139,0.285,0.002,826.225,10.428,21.284,0.16,55.383,2475.235,1.005,0.995,-1.119,6.641,14.831,-10.0,22.154,15.949,0.205,12.287,1.048,1.575,0.54,0.542,34.168
2000,1.0,246.504,51.628,69.234,55.932,3.805,9.465,8.854,0.044,0.566,265.315,11.757,0.152,0.304,0.002,819.822,10.613,21.225,0.159,56.071,2488.756,1.0,1.0,-1.145,6.591,14.756,-10.0,22.057,15.901,0.207,12.973,0.986,1.592,0.536,0.552,34.419
2100,1.0,250.17,55.015,73.777,59.072,4.039,9.604,8.986,0.045,0.573,264.276,12.48,0.166,0.321,0.002,816.613,10.835,21.036,0.159,56.764,2502.157,0.995,1.005,-1.173,6.54,14.68,-10.0,21.959,15.853,0.209,13.663,0.937,1.61,0.537,0.56,34.548
2200,1.0,254.697,58.678,78.689,62.244,4.277,9.774,9.149,0.045,0.58,262.406,13.216,0.18,0.339,0.003,810.834,11.021,20.783,0.157,57.462,2515.507,0.99,1.01,-1.2,6.489,14.603,-10.0,21.86,15.803,0.21,14.358,0.886,1.626,0.533,0.57,34.782
2300,1.0,258.348,62.225,83.444,65.45,4.52,9.914,9.28,0.046,0.588,261.513,13.967,0.194,0.356,0.003,808.077,11.245,20.607,0.157,58.166,2528.854,0.985,1.015,-1.228,6.437,14.526,-10.0,21.76,15.754,0.212,15.058,0.845,1.644,0.535,0.578,34.898
2400,1.0,261.99,65.845,88.3,68.688,4.768,10.053,9.411,0.047,0.595,260.683,14.733,0.21,0.374,0.003,805.51,11.47,20.438,0.156,58.877,2542.116,0.98,1.02,-1.256,6.385,14.448,-10.0,21.659,15.704,0.214,15.763,0.807,1.663,0.537,0.586,35.007
2500,1.0,266.517,69.774,93.569,71.958,5.021,10.224,9.573,0.048,0.603,259.04,15.514,0.226,0.392,0.003,800.433,11.657,20.205,0.155,59.595,2555.321,0.975,1.026,-1.284,6.333,14.37,-10.0,21.558,15.653,0.215,16.472,0.768,1.68,0.533,0.596,35.221
2600,1.0,269.446,73.362,98.38,75.11,5.268,10.338,9.679,0.048,0.612,258.486,16.277,0.242,0.409,0.003,798.721,11.89,20.059,0.155,60.207,2568.758,0.97,1.031,-1.312,6.28,14.292,-10.0,21.456,15.603,0.217,17.187,0.74,1.696,0.535,0.603,35.303
2700,1.0,273.26,77.262,103.611,78.282,5.518,10.485,9.816,0.049,0.62,257.13,17.052,0.259,0.426,0.003,794.533,12.085,19.85,0.154,60.824,2582.151,0.965,1.036,-1.34,6.228,14.213,-10.0,21.355,15.553,0.218,17.905,0.709,1.71,0.53,0.611,35.489
2800,1.0,276.766,81.152,108.827,81.607,5.783,10.62,9.941,0.05,0.629,256.531,17.869,0.278,0.444,0.003,792.682,12.314,19.702,0.154,61.535,2595.369,0.96,1.042,-1.368,6.175,14.135,-10.0,21.253,15.502,0.219,18.629,0.683,1.728,0.533,0.619,35.576
2900,1.0,280.856,85.293,114.379,85.097,6.062,10.777,10.088,0.05,0.639,255.85,18.731,0.297,0.463,0.004,790.575,12.537,19.547,0.154,62.343,2608.362,0.955,1.047,-1.396,6.122,14.056,-10.0,21.151,15.452,0.22,19.357,0.656,1.75,0.537,0.628,35.671
