Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K),Lambda,Phi (φ),CA10 (deg),CA50 (deg),CA90 (deg),SOC (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),KnockIdx,Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),η_ind (%)
3000,1.0,285.869,89.808,120.435,88.627,6.346,10.968,10.268,0.051,0.648,254.396,19.61,0.317,0.482,0.004,786.084,12.72,19.334,0.153,63.159,2621.345,0.95,1.053,-1.424,6.07,13.978,-10.0,21.05,15.401,0.221,20.09,0.626,1.77,0.533,0.639,35.868
3100,1.0,289.847,94.093,126.181,92.16,6.634,11.121,10.411,0.052,0.658,253.827,20.5,0.338,0.502,0.004,784.325,12.945,19.189,0.152,63.958,2634.368,0.945,1.058,-1.452,6.017,13.899,-10.0,20.948,15.351,0.222,20.828,0.603,1.791,0.537,0.648,35.951
3200,1.0,294.755,98.773,132.457,95.731,6.928,11.308,10.588,0.052,0.668,252.505,21.407,0.36,0.521,0.004,780.24,13.13,18.988,0.152,64.765,2647.38,0.94,1.064,-1.48,5.965,13.821,-10.0,20.847,15.301,0.223,21.57,0.577,1.811,0.533,0.659,36.136
3300,1.0,298.548,103.171,138.354,99.281,7.223,11.456,10.724,0.053,0.679,252.049,22.32,0.383,0.54,0.004,778.83,13.359,18.853,0.151,65.546,2660.531,0.935,1.07,-1.508,5.913,13.743,-10.0,20.746,15.251,0.224,22.317,0.558,1.832,0.537,0.668,36.208
3400,1.0,302.127,107.572,144.256,102.806,7.52,11.596,10.852,0.054,0.69,251.665,23.237,0.406,0.559,0.005,777.645,13.59,18.724,0.151,66.3,2673.873,0.93,1.075,-1.535,5.861,13.666,-10.0,20.646,15.201,0.224,23.069,0.541,1.851,0.54,0.676,36.272
3500,1.0,306.656,112.395,150.725,106.361,7.822,11.771,11.015,0.054,0.701,250.54,24.17,0.43,0.579,0.005,774.169,13.78,18.54,0.15,67.06,2687.229,0.925,1.081,-1.563,5.809,13.588,-10.0,20.545,15.151,0.225,23.826,0.52,1.87,0.537,0.686,36.438
3600,1.0,309.666,116.741,156.553,109.778,8.117,11.891,11.123,0.055,0.713,250.316,25.082,0.455,0.597,0.005,773.476,14.018,18.423,0.15,67.731,2700.809,0.92,1.087,-1.591,5.757,13.511,-10.0,20.446,15.102,0.225,24.587,0.508,1.887,0.54,0.693,36.485
3700,1.0,313.624,121.518,162.958,113.216,8.417,12.046,11.265,0.056,0.725,249.364,26.009,0.48,0.616,0.005,770.536,14.214,18.253,0.15,68.407,2714.386,0.915,1.093,-1.618,5.706,13.434,-10.0,20.346,15.052,0.225,25.353,0.491,1.903,0.536,0.702,36.633
3800,1.0,316.509,125.95,168.902,116.631,8.719,12.163,11.369,0.057,0.737,249.207,26.941,0.506,0.635,0.005,770.05,14.454,18.142,0.15,69.064,2728.12,0.91,1.099,-1.646,5.654,13.358,-10.0,20.247,15.003,0.225,26.123,0.48,1.92,0.539,0.709,36.673
3900,1.0,319.248,130.383,174.846,120.019,9.022,12.274,11.467,0.057,0.75,249.096,27.877,0.532,0.653,0.005,769.706,14.697,18.035,0.149,69.701,2742.028,0.905,1.105,-1.673,5.603,13.282,-10.0,20.148,14.954,0.225,26.898,0.47,1.936,0.542,0.716,36.709
4000,1.0,322.951,135.277,181.41,123.424,9.329,12.421,11.6,0.058,0.762,248.265,28.827,0.56,0.672,0.006,767.139,14.896,17.875,0.149,70.343,2755.958,0.9,1.111,-1.7,5.552,13.206,-10.0,20.05,14.906,0.225,27.678,0.457,1.951,0.538,0.724,36.844
4100,1.0,324.055,139.133,186.581,126.653,9.594,12.474,11.64,0.059,0.776,248.252,29.647,0.58,0.689,0.006,767.098,14.994,17.834,0.149,70.727,2764.116,0.898,1.114,-1.727,5.502,13.13,-10.0,19.952,14.857,0.225,28.463,0.449,1.958,0.539,0.727,36.879
4200,1.0,326.094,143.424,192.334,129.889,9.862,12.562,11.713,0.059,0.789,247.531,30.472,0.6,0.707,0.006,764.87,15.05,17.743,0.149,71.112,2772.182,0.896,1.116,-1.754,5.451,13.055,-10.0,19.855,14.809,0.225,29.252,0.437,1.964,0.533,0.732,37.013
4300,1.0,326.938,147.218,197.423,133.057,10.125,12.607,11.744,0.06,0.803,247.584,31.285,0.62,0.724,0.006,765.035,15.152,17.707,0.149,71.459,2780.434,0.894,1.119,-1.781,5.401,12.98,-10.0,19.757,14.76,0.225,30.047,0.429,1.97,0.534,0.735,37.041
4400,1.0,327.532,150.916,202.382,136.151,10.383,12.643,11.765,0.061,0.817,247.689,32.085,0.64,0.741,0.006,765.36,15.258,17.675,0.149,71.767,2788.742,0.892,1.121,-1.807,5.351,12.905,-10.0,19.661,14.712,0.224,30.846,0.423,1.975,0.535,0.737,37.064
4500,1.0,329.064,155.068,207.949,139.246,10.643,12.713,11.82,0.062,0.832,247.09,32.888,0.66,0.758,0.006,763.51,15.32,17.593,0.148,72.075,2796.964,0.89,1.124,-1.834,5.301,12.831,-10.0,19.564,14.665,0.224,31.649,0.414,1.979,0.529,0.741,37.187
4600,1.0,329.392,158.672,212.783,142.259,10.898,12.74,11.832,0.062,0.846,247.26,33.675,0.68,0.774,0.007,764.032,15.429,17.565,0.148,72.342,2805.186,0.888,1.126,-1.861,5.251,12.757,-10.0,19.468,14.617,0.224,32.458,0.409,1.983,0.53,0.743,37.204
4700,1.0,330.656,162.743,218.242,145.27,11.154,12.802,11.877,0.063,0.862,246.731,34.465,0.7,0.791,0.007,762.4,15.495,17.488,0.148,72.611,2813.444,0.886,1.129,-1.887,5.202,12.683,-10.0,19.373,14.57,0.224,33.271,0.4,1.985,0.523,0.746,37.32
4800,1.0,330.96,166.359,223.091,148.277,11.41,12.829,11.888,0.064,0.877,246.922,35.258,0.721,0.807,0.007,762.989,15.605,17.462,0.148,72.883,2821.759,0.884,1.131,-1.913,5.153,12.609,-10.0,19.278,14.523,0.224,34.09,0.396,1.989,0.524,0.748,37.335
4900,1.0,331.248,169.972,227.936,151.28,11.668,12.856,11.898,0.064,0.893,247.127,36.054,0.742,0.823,0.007,763.622,15.717,17.437,0.148,73.154,2829.997,0.882,1.134,-1.939,5.104,12.536,-10.0,19.183,14.476,0.223,34.913,0.391,1.993,0.525,0.75,37.35
5000,1.0,332.47,174.081,233.447,154.28,11.926,12.916,11.942,0.065,0.909,246.638,36.852,0.763,0.84,0.007,762.11,15.785,17.363,0.148,73.423,2838.162,0.88,1.136,-1.965,5.055,12.464,-10.0,19.089,14.429,0.223,35.74,0.384,1.995,0.518,0.753,37.463
5100,1.0,332.004,177.313,237.781,157.276,12.158,12.917,11.926,0.066,0.925,246.844,37.568,0.778,0.856,0.007,762.748,15.798,17.378,0.148,73.571,2842.071,0.88,1.136,-1.991,5.007,12.391,-10.0,18.995,14.383,0.223,36.573,0.379,1.995,0.518,0.753,37.485
5200,1.0,331.517,180.525,242.088,160.269,12.389,12.917,11.908,0.066,0.942,247.066,38.283,0.793,0.872,0.007,763.435,15.812,17.393,0.148,73.717,2846.095,0.88,1.136,-2.017,4.958,12.319,-10.0,18.902,14.336,0.223,37.411,0.374,1.994,0.518,0.753,37.506
5300,1.0,331.961,184.243,247.074,163.258,12.62,12.95,11.924,0.067,0.959,246.596,38.997,0.808,0.888,0.008,761.981,15.782,17.36,0.148,73.86,2850.017,0.88,1.136,-2.043,4.91,12.247,-10.0,18.809,14.29,0.223,38.253,0.366,1.992,0.51,0.755,37.626
5400,1.0,331.443,187.427,251.343,166.244,12.851,12.95,11.905,0.068,0.977,246.84,39.71,0.822,0.905,0.008,762.736,15.798,17.378,0.148,74.007,2853.844,0.88,1.136,-2.068,4.862,12.176,-10.0,18.717,14.244,0.223,39.101,0.362,1.992,0.51,0.755,37.646
5500,1.0,331.849,191.131,256.311,169.226,13.082,12.983,11.92,0.068,0.994,246.398,40.423,0.837,0.921,0.008,761.37,15.769,17.346,0.148,74.153,2857.586,0.88,1.136,-2.094,4.815,12.105,-10.0,18.625,14.199,0.223,39.953,0.355,1.989,0.503,0.757,37.763
5600,1.0,331.305,194.287,260.543,172.205,13.312,12.982,11.9,0.069,1.012,246.662,41.134,0.852,0.937,0.008,762.187,15.786,17.365,0.148,74.297,2861.406,0.88,1.136,-2.119,4.767,12.034,-10.0,18.533,14.153,0.223,40.81,0.351,1.989,0.503,0.757,37.782
5700,1.0,330.742,197.42,264.745,175.18,13.542,12.981,11.88,0.07,1.031,246.942,41.845,0.867,0.953,0.008,763.05,15.804,17.385,0.148,74.437,2865.194,0.88,1.136,-2.144,4.72,11.964,-10.0,18.442,14.108,0.223,41.671,0.347,1.988,0.503,0.757,37.8
5800,1.0,331.097,201.1,269.68,178.152,13.772,13.013,11.893,0.071,1.05,246.536,42.555,0.881,0.97,0.008,761.795,15.778,17.356,0.148,74.575,2868.885,0.88,1.136,-2.169,4.673,11.894,-10.0,18.352,14.063,0.223,42.538,0.34,1.986,0.495,0.759,37.916
5900,1.0,330.506,204.202,273.839,181.12,14.001,13.012,11.872,0.071,1.069,246.836,43.264,0.896,0.986,0.008,762.724,15.798,17.377,0.148,74.711,2872.48,0.88,1.136,-2.194,4.627,11.824,-10.0,18.261,14.018,0.223,43.409,0.336,1.986,0.495,0.759,37.933
6000,1.0,329.899,207.282,277.969,184.085,14.23,13.01,11.85,0.072,1.088,247.149,43.972,0.911,1.002,0.009,763.691,15.818,17.399,0.148,74.848,2876.079,0.88,1.136,-2.219,4.58,11.755,-10.0,18.172,13.974,0.223,44.285,0.333,1.985,0.495,0.759,37.95
6100,1.0,330.21,210.935,282.869,187.046,14.459,13.042,11.861,0.073,1.108,246.775,44.679,0.925,1.018,0.009,762.536,15.794,17.373,0.148,74.986,2879.751,0.88,1.136,-2.243,4.534,11.686,-10.0,18.083,13.93,0.223,45.166,0.326,1.983,0.488,0.76,38.063
6200,1.0,329.577,213.982,286.954,190.004,14.688,13.039,11.838,0.073,1.128,247.108,45.386,0.94,1.034,0.009,763.565,15.815,17.396,0.148,75.122,2883.33,0.88,1.136,-2.268,4.488,11.618,-10.0,17.994,13.886,0.223,46.052,0.323,1.982,0.488,0.76,38.079
6300,1.0,328.926,217.004,291.007,192.958,14.916,13.037,11.815,0.074,1.148,247.456,46.091,0.955,1.05,0.009,764.638,15.837,17.421,0.148,75.256,2886.817,0.88,1.136,-2.292,4.443,11.55,-10.0,17.906,13.842,0.223,46.942,0.32,1.982,0.488,0.76,38.094
6400,1.0,329.19,220.625,295.864,195.908,15.144,13.068,11.825,0.075,1.169,247.116,46.796,0.969,1.066,0.009,763.587,15.815,17.397,0.148,75.386,2890.216,0.88,1.136,-2.316,4.397,11.482,-10.0,17.818,13.799,0.223,47.838,0.314,1.979,0.481,0.762,38.206
6500,1.0,328.516,223.614,299.871,198.856,15.372,13.065,11.8,0.076,1.19,247.481,47.5,0.984,1.082,0.009,764.717,15.839,17.423,0.148,75.515,2893.743,0.88,1.136,-2.34,4.352,11.415,-10.0,17.731,13.755,0.223,48.738,0.311,1.979,0.481,0.762,38.22
6600,1.0,327.825,226.577,303.844,201.799,15.6,13.063,11.776,0.076,1.211,247.86,48.203,0.998,1.098,0.009,765.889,15.863,17.449,0.149,75.641,2897.223,0.88,1.136,-2.364,4.307,11.348,-10.0,17.645,13.712,0.223,49.643,0.309,1.978,0.481,0.762,38.234
6700,1.0,328.048,230.166,308.658,204.74,15.827,13.093,11.784,0.077,1.233,247.55,48.906,1.013,1.114,0.009,764.93,15.843,17.428,0.149,75.773,2900.621,0.88,1.136,-2.388,4.263,11.282,-10.0,17.559,13.67,0.223,50.552,0.303,1.976,0.474,0.763,38.345
6800,1.0,327.333,233.092,312.582,207.676,16.054,13.09,11.758,0.078,1.254,247.949,49.607,1.027,1.13,0.01,766.161,15.869,17.456,0.149,75.902,2903.93,0.88,1.136,-2.412,4.219,11.215,-10.0,17.473,13.627,0.223,51.467,0.3,1.976,0.474,0.763,38.358
6900,1.0,326.602,235.992,316.47,210.61,16.281,13.087,11.732,0.078,1.277,248.361,50.308,1.042,1.146,0.01,767.436,15.895,17.485,0.149,76.029,2907.23,0.88,1.136,-2.435,4.174,11.15,-10.0,17.388,13.585,0.223,52.386,0.298,1.975,0.474,0.763,38.37
7000,1.0,326.782,239.543,321.233,213.539,16.507,13.116,11.738,0.079,1.299,248.082,51.008,1.056,1.162,0.01,766.575,15.877,17.465,0.149,76.153,2910.617,0.88,1.136,-2.459,4.131,11.084,-10.0,17.303,13.543,0.223,53.31,0.292,1.973,0.467,0.765,38.48
