Engine Speed (RPM),Throttle,Lambda,Torque (Nm),Power (kW),Horsepower,IMEP (bar),BMEP (bar),PMEP (bar),FMEP (bar),BSFC (g/kWh),Air Flow(g/s),Fuel Flow(g/s),CO2 (g/s),CO (g/s),NOx (g/s),HC (g/s),CO2 (g/kWh),CO (g/kWh),NOx (g/kWh),HC (g/kWh),Pmax (bar),Tmax (K),KnockIdx,Phi,SOC (deg),CA10 (deg),CA50 (deg),CA90 (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),n_ind (%)
1000,1.0,0.96,265.471,27.8,37.28,9.711,9.536,0.037,0.138,241.623,26.331,1.866,5.766,0.09,0.143,0.001,746.615,11.598,18.557,0.145,59.073,2689.722,2.366,1.042,-8.316,-0.883,5.612,12.465,18.595,13.349,0.216,10.045,1.561,0.461,0.566,36.007
1100,1.0,0.958,269.069,30.995,41.564,9.853,9.665,0.038,0.151,240.373,29.144,2.07,6.395,0.1,0.159,0.001,742.752,11.634,18.422,0.144,59.699,2701.207,2.139,1.044,-8.316,-0.897,5.586,12.427,18.544,13.323,0.217,11.07,1.574,0.457,0.575,36.233
1200,1.0,0.956,272.487,34.242,45.919,9.991,9.788,0.038,0.165,239.321,31.99,2.276,7.034,0.111,0.174,0.001,739.503,11.679,18.303,0.144,60.326,2712.137,1.95,1.046,-8.315,-0.912,5.556,12.381,18.486,13.294,0.217,12.103,1.587,0.454,0.583,36.439
1300,1.0,0.954,275.769,37.542,50.345,10.126,9.906,0.039,0.181,238.422,34.868,2.486,7.683,0.122,0.19,0.001,736.724,11.73,18.196,0.143,60.956,2722.59,1.79,1.048,-8.314,-0.93,5.523,12.331,18.421,13.261,0.218,13.144,1.601,0.451,0.59,36.627
1400,1.0,0.952,279.839,41.027,55.018,10.29,10.052,0.04,0.198,236.883,37.779,2.7,8.342,0.134,0.206,0.002,731.969,11.749,18.041,0.142,61.588,2732.636,1.636,1.05,-8.313,-0.948,5.487,12.278,18.351,13.226,0.218,14.193,1.613,0.442,0.6,36.917
1500,1.0,0.95,282.913,44.44,59.595,10.419,10.162,0.04,0.216,236.225,40.723,2.916,9.011,0.146,0.222,0.002,729.936,11.811,17.953,0.142,62.221,2742.341,1.518,1.053,-8.312,-0.968,5.449,12.221,18.277,13.189,0.219,15.249,1.626,0.441,0.607,37.077
1600,1.0,0.948,285.903,47.904,64.24,10.546,10.27,0.041,0.235,235.658,43.699,3.136,9.69,0.158,0.238,0.002,728.184,11.877,17.872,0.141,62.855,2751.815,1.415,1.055,-8.312,-0.989,5.41,12.162,18.201,13.151,0.219,16.313,1.64,0.439,0.615,37.227
1700,1.0,0.946,289.703,51.574,69.162,10.703,10.406,0.042,0.255,234.454,46.708,3.359,10.379,0.171,0.254,0.002,724.463,11.91,17.743,0.141,63.49,2761.009,1.31,1.057,-8.311,-1.01,5.37,12.102,18.123,13.112,0.219,17.384,1.652,0.432,0.624,37.478
1800,1.0,0.944,292.556,55.146,73.951,10.827,10.509,0.043,0.276,234.044,49.75,3.585,11.078,0.184,0.271,0.002,723.195,11.983,17.675,0.14,64.125,2769.95,1.23,1.059,-8.31,-1.031,5.329,12.04,18.042,13.071,0.22,18.464,1.666,0.431,0.631,37.609
1900,1.0,0.942,295.353,58.766,78.806,10.95,10.609,0.043,0.298,233.694,52.825,3.815,11.788,0.197,0.287,0.002,722.114,12.059,17.611,0.14,64.763,2778.676,1.159,1.062,-8.309,-1.053,5.287,11.977,17.961,13.031,0.22,19.551,1.68,0.43,0.638,37.732
2000,1.0,0.94,298.096,62.433,83.724,11.072,10.708,0.044,0.321,233.4,55.932,4.048,12.508,0.21,0.304,0.002,721.206,12.137,17.552,0.14,65.401,2787.197,1.094,1.064,-8.308,-1.075,5.245,11.914,17.878,12.989,0.22,20.645,1.694,0.43,0.646,37.849
2100,1.0,0.938,300.254,66.029,88.547,11.174,10.785,0.045,0.345,233.575,59.072,4.284,13.238,0.224,0.321,0.003,721.745,12.239,17.527,0.14,65.368,2784.6,1.024,1.066,-8.307,-0.977,5.428,12.188,18.233,13.165,0.221,21.389,1.707,0.43,0.652,37.895
2200,1.0,0.936,302.359,69.659,93.414,11.275,10.861,0.045,0.369,233.795,62.244,4.524,13.979,0.239,0.339,0.003,722.425,12.344,17.507,0.14,65.316,2781.601,0.96,1.068,-8.307,-0.875,5.618,12.471,18.599,13.346,0.221,22.103,1.72,0.43,0.657,37.935
2300,1.0,0.934,303.59,73.121,98.057,11.346,10.905,0.046,0.394,234.694,65.45,4.767,14.73,0.254,0.356,0.003,725.203,12.486,17.536,0.141,65.238,2778.227,0.91,1.071,-8.306,-0.77,5.815,12.764,18.978,13.533,0.221,22.787,1.734,0.436,0.662,37.871
2400,1.0,0.932,305.624,76.812,103.006,11.445,10.978,0.047,0.421,234.974,68.688,5.014,15.492,0.269,0.374,0.003,726.071,12.595,17.52,0.141,65.132,2774.443,0.855,1.073,-8.305,-0.661,6.018,13.067,19.37,13.728,0.221,23.442,1.747,0.435,0.667,37.905
2500,1.0,0.93,306.806,80.322,107.713,11.516,11.02,0.048,0.448,235.912,71.958,5.264,16.264,0.284,0.392,0.003,728.968,12.739,17.552,0.142,64.996,2770.357,0.812,1.075,-8.304,-0.548,6.229,13.381,19.777,13.929,0.222,24.066,1.762,0.441,0.671,37.84
2600,1.0,0.928,307.198,83.641,112.165,11.558,11.035,0.048,0.476,236.98,75.11,5.506,17.013,0.3,0.409,0.003,732.27,12.892,17.593,0.142,64.711,2766.329,0.774,1.078,-8.303,-0.431,6.448,13.707,20.199,14.138,0.222,24.659,1.772,0.446,0.674,37.76
2700,1.0,0.926,307.571,86.964,116.62,11.601,11.048,0.049,0.504,238.068,78.282,5.751,17.77,0.315,0.426,0.003,735.629,13.046,17.636,0.143,64.404,2761.836,0.739,1.08,-8.302,-0.309,6.675,14.045,20.636,14.354,0.222,25.22,1.783,0.451,0.676,37.681
2800,1.0,0.924,309.32,90.697,121.627,11.694,11.111,0.05,0.534,238.476,81.607,6.008,18.565,0.332,0.444,0.004,736.89,13.164,17.628,0.143,64.162,2756.546,0.696,1.082,-8.302,-0.183,6.911,14.396,21.091,14.579,0.222,25.751,1.795,0.45,0.682,37.704
2900,1.0,0.922,310.875,94.409,126.604,11.781,11.167,0.05,0.564,239.417,85.097,6.279,19.401,0.349,0.463,0.004,739.8,13.312,17.659,0.144,63.979,2750.785,0.659,1.085,-8.301,-0.052,7.156,14.762,21.564,14.814,0.222,26.249,1.811,0.455,0.687,37.646
