Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K),Lambda,Phi (φ),CA10 (deg),CA50 (deg),CA90 (deg),SOC (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),KnockIdx,Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),η_ind (%)
1000,1.0,205.957,21.568,28.923,26.331,1.791,8.033,7.398,0.065,0.57,298.986,5.535,0.072,0.143,0.001,923.865,11.959,23.919,0.179,49.398,2365.971,1.0,1.0,-0.667,7.488,16.093,-10.0,23.789,16.76,0.207,8.0,2.084,1.499,0.616,0.468,31.026
1100,1.0,201.134,23.169,31.07,29.144,1.983,7.867,7.225,0.068,0.574,308.055,6.126,0.079,0.159,0.001,951.889,12.322,24.644,0.185,45.995,2299.645,1.0,1.0,0.266,9.236,18.702,-10.0,27.168,18.436,0.207,8.0,1.756,1.509,0.641,0.459,30.199
1200,1.0,197.419,24.808,33.269,31.99,2.176,7.742,7.091,0.072,0.579,315.789,6.724,0.087,0.174,0.001,975.789,12.632,25.263,0.189,42.825,2238.322,1.0,1.0,1.199,10.985,21.312,-10.0,30.547,20.112,0.207,8.0,1.47,1.517,0.658,0.451,29.535
1300,1.0,196.215,26.712,35.821,34.868,2.372,7.707,7.048,0.076,0.584,319.675,7.329,0.095,0.19,0.001,987.797,12.787,25.574,0.192,41.33,2209.82,1.0,1.0,1.714,11.949,22.75,-10.0,32.41,21.036,0.207,8.286,1.283,1.527,0.668,0.449,29.223
1400,1.0,199.688,29.276,39.259,37.779,2.57,7.841,7.173,0.079,0.589,316.03,7.941,0.103,0.206,0.002,976.534,12.641,25.282,0.19,41.74,2218.098,1.0,1.0,1.691,11.906,22.685,-10.0,32.326,20.995,0.207,8.941,1.178,1.536,0.659,0.457,29.549
1500,1.0,202.415,31.795,42.638,40.723,2.77,7.948,7.271,0.082,0.594,313.661,8.56,0.111,0.222,0.002,969.212,12.546,25.093,0.188,42.154,2225.984,1.0,1.0,1.665,11.857,22.613,-10.0,32.232,20.948,0.207,9.601,1.09,1.546,0.656,0.463,29.772
1600,1.0,205.052,34.357,46.073,43.699,2.973,8.052,7.365,0.086,0.601,311.491,9.186,0.119,0.238,0.002,962.508,12.46,24.919,0.187,42.571,2233.521,1.0,1.0,1.637,11.805,22.535,-10.0,32.131,20.898,0.207,10.266,1.013,1.555,0.654,0.469,29.982
1700,1.0,208.248,37.073,49.716,46.708,3.177,8.177,7.48,0.09,0.607,308.547,9.818,0.127,0.254,0.002,953.411,12.342,24.684,0.185,42.991,2240.758,1.0,1.0,1.607,11.749,22.452,-10.0,32.023,20.845,0.207,10.935,0.943,1.564,0.647,0.477,30.265
1800,1.0,210.735,39.723,53.269,49.75,3.384,8.276,7.57,0.093,0.614,306.719,10.458,0.135,0.271,0.002,947.762,12.269,24.538,0.184,43.413,2247.744,1.0,1.0,1.576,11.691,22.365,-10.0,31.911,20.789,0.207,11.609,0.883,1.574,0.645,0.483,30.453
1900,1.0,213.797,42.539,57.045,52.825,3.594,8.397,7.68,0.096,0.621,304.115,11.104,0.144,0.287,0.002,939.715,12.165,24.329,0.182,43.837,2254.462,1.0,1.0,1.544,11.631,22.275,-10.0,31.794,20.731,0.207,12.289,0.827,1.583,0.639,0.49,30.715
