Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K),Lambda,Phi (φ),CA10 (deg),CA50 (deg),CA90 (deg),SOC (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),KnockIdx,Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),η_ind (%)
1000,1.0,182.19,19.079,25.585,26.331,1.706,7.179,6.544,0.065,0.57,321.893,5.271,0.051,0.13,0.001,994.649,9.657,24.464,0.193,39.318,2145.645,1.05,0.952,1.799,12.109,22.988,-10.0,32.718,21.189,0.185,6.328,1.686,1.428,0.631,0.419,29.115
1100,1.0,186.203,21.449,28.764,29.144,1.897,7.331,6.688,0.068,0.574,318.428,5.862,0.059,0.145,0.001,983.943,9.871,24.328,0.191,39.835,2161.468,1.045,0.957,1.782,12.076,22.939,-10.0,32.655,21.158,0.188,6.971,1.527,1.444,0.629,0.427,29.407
1200,1.0,190.695,23.963,32.135,31.99,2.092,7.5,6.85,0.072,0.579,314.35,6.466,0.067,0.161,0.001,971.342,10.059,24.142,0.189,40.361,2176.84,1.04,0.962,1.76,12.035,22.878,-10.0,32.576,21.119,0.19,7.619,1.39,1.459,0.622,0.437,29.758
1300,1.0,194.48,26.476,35.504,34.868,2.292,7.645,6.986,0.076,0.584,311.62,7.082,0.076,0.177,0.001,962.906,10.283,24.057,0.187,40.894,2191.831,1.035,0.966,1.735,11.988,22.808,-10.0,32.484,21.073,0.192,8.271,1.279,1.475,0.621,0.446,30.001
1400,1.0,198.184,29.055,38.964,37.779,2.495,7.787,7.119,0.079,0.589,309.153,7.71,0.085,0.194,0.001,955.282,10.511,23.99,0.185,41.435,2206.501,1.03,0.971,1.707,11.936,22.73,-10.0,32.384,21.024,0.195,8.929,1.183,1.492,0.621,0.454,30.226
1500,1.0,202.429,31.798,42.641,40.723,2.703,7.948,7.271,0.082,0.594,305.989,8.351,0.095,0.211,0.002,945.505,10.71,23.867,0.184,41.982,2220.893,1.025,0.976,1.677,11.88,22.647,-10.0,32.276,20.97,0.197,9.591,1.097,1.508,0.616,0.463,30.519
1600,1.0,206.014,34.518,46.289,43.699,2.914,8.087,7.4,0.086,0.601,303.958,9.006,0.105,0.228,0.002,939.23,10.942,23.83,0.182,42.535,2235.042,1.02,0.98,1.646,11.822,22.56,-10.0,32.163,20.914,0.199,10.258,1.024,1.525,0.617,0.472,30.713
1700,1.0,210.165,37.414,50.173,46.708,3.13,8.246,7.549,0.09,0.607,301.215,9.673,0.116,0.247,0.002,930.754,11.145,23.736,0.181,43.094,2248.983,1.015,0.985,1.613,11.761,22.469,-10.0,32.046,20.856,0.201,10.929,0.958,1.541,0.613,0.481,30.978
1800,1.0,213.67,40.276,54.011,49.75,3.351,8.382,7.675,0.093,0.614,299.511,10.354,0.127,0.265,0.002,925.489,11.381,23.721,0.18,43.66,2262.738,1.01,0.99,1.58,11.698,22.376,-10.0,31.925,20.796,0.203,11.606,0.901,1.558,0.615,0.489,31.149
1900,1.0,217.76,43.327,58.103,52.825,3.576,8.539,7.822,0.096,0.621,297.095,11.049,0.139,0.285,0.002,918.023,11.587,23.649,0.178,44.231,2276.367,1.005,0.995,1.546,11.634,22.28,-10.0,31.801,20.734,0.205,12.287,0.848,1.575,0.611,0.498,31.392
2000,1.0,221.215,46.331,62.131,55.932,3.805,8.675,7.946,0.1,0.628,295.645,11.757,0.152,0.304,0.002,913.542,11.826,23.652,0.177,44.807,2289.907,1.0,1.0,1.511,11.569,22.183,-10.0,31.675,20.672,0.207,12.973,0.803,1.592,0.613,0.506,31.545
2100,1.0,225.273,49.54,66.435,59.072,4.039,8.832,8.092,0.104,0.636,293.483,12.48,0.166,0.321,0.002,906.864,12.033,23.361,0.176,45.39,2303.325,0.995,1.005,1.476,11.503,22.084,-10.0,31.547,20.608,0.209,13.663,0.759,1.609,0.611,0.515,31.77
2200,1.0,228.699,52.689,70.656,62.244,4.277,8.967,8.215,0.107,0.645,292.236,13.216,0.18,0.339,0.003,903.009,12.274,23.145,0.175,45.978,2316.638,0.99,1.01,1.44,11.436,21.984,-10.0,31.418,20.544,0.21,14.358,0.722,1.627,0.613,0.523,31.908
2300,1.0,232.744,56.058,75.175,65.45,4.52,9.124,8.36,0.11,0.653,290.282,13.967,0.194,0.356,0.003,896.971,12.482,22.874,0.174,46.572,2329.854,0.985,1.015,1.404,11.368,21.884,-10.0,31.287,20.48,0.212,15.058,0.686,1.645,0.611,0.532,32.119
2400,1.0,236.156,59.352,79.593,68.688,4.768,9.259,8.483,0.114,0.663,289.2,14.733,0.21,0.374,0.003,893.629,12.725,22.673,0.174,47.172,2343.01,0.98,1.02,1.368,11.301,21.782,-10.0,31.156,20.415,0.214,15.763,0.655,1.663,0.614,0.54,32.244
2500,1.0,240.202,62.885,84.33,71.958,5.021,9.418,8.628,0.118,0.672,287.419,15.514,0.226,0.392,0.003,888.126,12.934,22.419,0.172,47.777,2356.187,0.975,1.026,1.331,11.232,21.681,-10.0,31.025,20.349,0.215,16.472,0.625,1.681,0.611,0.549,32.443
2600,1.0,242.93,66.143,88.699,75.11,5.268,9.529,8.726,0.121,0.682,286.7,16.277,0.242,0.409,0.003,885.902,13.188,22.248,0.172,48.299,2369.505,0.97,1.031,1.295,11.164,21.579,-10.0,30.893,20.284,0.217,17.187,0.602,1.696,0.614,0.556,32.539
2700,1.0,246.299,69.639,93.388,78.282,5.518,9.664,8.847,0.124,0.692,285.277,17.052,0.259,0.426,0.003,881.507,13.408,22.023,0.171,48.825,2382.773,0.965,1.036,1.259,11.096,21.477,-10.0,30.761,20.218,0.218,17.905,0.58,1.71,0.611,0.563,32.71
2800,1.0,249.568,73.177,98.132,81.607,5.783,9.795,8.965,0.128,0.703,284.488,17.869,0.278,0.444,0.003,879.069,13.655,21.849,0.171,49.43,2395.825,0.96,1.042,1.222,11.027,21.375,-10.0,30.629,20.153,0.219,18.629,0.558,1.729,0.615,0.571,32.812
2900,1.0,254.051,77.152,103.463,85.097,6.062,9.971,9.126,0.132,0.714,282.845,18.731,0.297,0.463,0.004,873.99,13.859,21.609,0.17,50.114,2408.783,0.955,1.047,1.186,10.959,21.273,-10.0,30.497,20.087,0.22,19.357,0.533,1.749,0.614,0.581,33.001
3000,1.0,258.555,81.228,108.928,88.627,6.346,10.147,9.287,0.135,0.725,281.27,19.61,0.317,0.482,0.004,869.124,14.063,21.377,0.169,50.805,2421.734,0.95,1.053,1.149,10.891,21.171,-10.0,30.365,20.022,0.221,20.09,0.51,1.77,0.612,0.592,33.186
3100,1.0,262.274,85.142,114.178,92.16,6.634,10.296,9.421,0.138,0.737,280.512,20.5,0.338,0.502,0.004,866.782,14.306,21.207,0.168,51.485,2434.698,0.945,1.058,1.113,10.822,21.069,-10.0,30.233,19.957,0.222,20.828,0.491,1.791,0.616,0.6,33.285
3200,1.0,266.678,89.365,119.84,95.731,6.928,10.47,9.579,0.142,0.749,279.09,21.407,0.36,0.521,0.004,862.388,14.513,20.988,0.167,52.172,2447.639,0.94,1.064,1.076,10.754,20.968,-10.0,30.101,19.891,0.223,21.57,0.471,1.811,0.615,0.61,33.457
3300,1.0,270.214,93.379,125.224,99.281,7.223,10.613,9.706,0.146,0.762,278.478,22.32,0.383,0.54,0.004,860.496,14.759,20.83,0.167,52.837,2460.733,0.935,1.07,1.04,10.687,20.866,-10.0,29.97,19.826,0.224,22.317,0.456,1.832,0.619,0.619,33.544
3400,1.0,274.233,97.64,130.937,102.806,7.52,10.774,9.85,0.149,0.775,277.264,23.237,0.406,0.559,0.005,856.744,14.972,20.628,0.166,53.481,2473.912,0.93,1.075,1.004,10.619,20.765,-10.0,29.839,19.761,0.224,23.069,0.44,1.85,0.618,0.628,33.7
3500,1.0,277.584,101.74,136.435,106.361,7.822,10.911,9.971,0.152,0.788,276.78,24.17,0.43,0.579,0.005,855.25,15.223,20.482,0.166,54.13,2487.089,0.925,1.081,0.968,10.551,20.665,-10.0,29.709,19.697,0.225,23.826,0.426,1.87,0.622,0.636,33.776
3600,1.0,281.065,105.959,142.094,109.778,8.117,11.053,10.096,0.156,0.801,275.788,25.082,0.455,0.597,0.005,852.184,15.444,20.298,0.165,54.709,2500.419,0.92,1.087,0.932,10.484,20.564,-10.0,29.579,19.632,0.225,24.587,0.414,1.887,0.62,0.644,33.914
3700,1.0,283.863,109.986,147.494,113.216,8.417,11.171,10.196,0.159,0.816,275.508,26.009,0.48,0.616,0.005,851.319,15.704,20.167,0.165,55.293,2513.876,0.915,1.093,0.896,10.417,20.464,-10.0,29.45,19.568,0.225,25.353,0.404,1.904,0.624,0.651,33.973
3800,1.0,287.228,114.298,153.277,116.631,8.719,11.31,10.317,0.163,0.83,274.612,26.941,0.506,0.635,0.005,848.55,15.927,19.992,0.165,55.864,2527.403,0.91,1.099,0.861,10.351,20.365,-10.0,29.321,19.504,0.225,26.123,0.394,1.92,0.622,0.659,34.103
3900,1.0,289.754,118.338,158.693,120.019,9.022,11.419,10.408,0.166,0.845,274.451,27.877,0.532,0.653,0.005,848.053,16.193,19.87,0.165,56.422,2540.976,0.905,1.105,0.825,10.284,20.266,-10.0,29.193,19.441,0.225,26.898,0.386,1.936,0.626,0.666,34.152
4000,1.0,293.003,122.733,164.587,123.424,9.329,11.555,10.525,0.17,0.86,273.641,28.827,0.56,0.672,0.006,845.549,16.418,19.702,0.164,56.984,2554.577,0.9,1.111,0.79,10.218,20.167,-10.0,29.065,19.377,0.225,27.678,0.376,1.951,0.624,0.674,34.275
4100,1.0,293.979,126.22,169.264,126.653,9.594,11.609,10.56,0.174,0.876,273.65,29.647,0.58,0.689,0.006,845.578,16.528,19.659,0.164,57.337,2562.92,0.898,1.114,0.755,10.152,20.069,-10.0,28.938,19.314,0.225,28.463,0.369,1.959,0.626,0.677,34.32
4200,1.0,295.659,130.037,174.383,129.889,9.862,11.689,10.62,0.177,0.892,273.012,30.472,0.6,0.707,0.006,843.606,16.599,19.569,0.164,57.69,2571.186,0.896,1.116,0.72,10.087,19.971,-10.0,28.811,19.251,0.225,29.252,0.361,1.965,0.621,0.682,34.44
4300,1.0,296.381,133.459,178.971,133.057,10.125,11.735,10.646,0.18,0.908,273.11,31.285,0.62,0.724,0.006,843.911,16.714,19.533,0.164,58.013,2579.424,0.894,1.119,0.685,10.021,19.874,-10.0,28.685,19.189,0.225,30.047,0.356,1.971,0.622,0.684,34.479
4400,1.0,297.584,137.117,183.877,136.151,10.383,11.798,10.689,0.184,0.925,272.616,32.085,0.64,0.741,0.006,842.382,16.793,19.454,0.164,58.306,2587.752,0.892,1.121,0.65,9.956,19.777,-10.0,28.559,19.126,0.224,30.846,0.349,1.975,0.617,0.688,34.587
4500,1.0,298.051,140.453,188.351,139.246,10.643,11.835,10.706,0.187,0.942,272.8,32.888,0.66,0.758,0.006,842.953,16.914,19.423,0.164,58.601,2596.079,0.89,1.124,0.616,9.891,19.68,-10.0,28.434,19.064,0.224,31.649,0.345,1.98,0.619,0.69,34.619
4600,1.0,299.0,144.031,193.149,142.259,10.898,11.891,10.74,0.191,0.959,272.393,33.675,0.68,0.774,0.007,841.695,16.997,19.351,0.163,58.866,2604.383,0.888,1.126,0.581,9.827,19.584,-10.0,28.309,19.002,0.224,32.458,0.339,1.982,0.614,0.693,34.722
4700,1.0,299.208,147.265,197.486,145.27,11.154,11.919,10.748,0.194,0.977,272.664,34.465,0.7,0.791,0.007,842.53,17.123,19.326,0.164,59.13,2612.652,0.886,1.129,0.547,9.763,19.488,-10.0,28.185,18.941,0.224,33.271,0.336,1.986,0.615,0.695,34.748
4800,1.0,300.126,150.86,202.306,148.277,11.41,11.974,10.781,0.198,0.996,272.29,35.258,0.721,0.807,0.007,841.376,17.209,19.256,0.163,59.394,2620.992,0.884,1.131,0.513,9.699,19.392,-10.0,28.061,18.879,0.224,34.09,0.331,1.989,0.61,0.698,34.848
4900,1.0,300.302,154.093,206.642,151.28,11.668,12.003,10.787,0.202,1.014,272.593,36.054,0.742,0.823,0.007,842.312,17.337,19.234,0.164,59.656,2629.263,0.882,1.134,0.479,9.635,19.297,-10.0,27.939,18.818,0.223,34.913,0.327,1.993,0.611,0.7,34.872
5000,1.0,301.192,157.704,211.484,154.28,11.926,12.057,10.819,0.205,1.033,272.25,36.852,0.763,0.84,0.007,841.254,17.424,19.166,0.163,59.918,2637.461,0.88,1.136,0.445,9.572,19.203,-10.0,27.816,18.758,0.223,35.74,0.323,1.996,0.606,0.703,34.971
5100,1.0,300.649,160.568,215.325,157.276,12.158,12.061,10.799,0.208,1.053,272.588,37.568,0.778,0.856,0.007,842.296,17.446,19.19,0.164,60.087,2641.811,0.88,1.136,0.411,9.509,19.109,-10.0,27.694,18.697,0.223,36.573,0.319,1.995,0.606,0.703,35.0
5200,1.0,300.818,163.808,219.67,160.269,12.389,12.09,10.805,0.212,1.073,272.28,38.283,0.793,0.872,0.007,841.344,17.426,19.168,0.163,60.255,2646.116,0.88,1.136,0.378,9.446,19.015,-10.0,27.573,18.637,0.223,37.411,0.314,1.993,0.6,0.705,35.106
5300,1.0,300.238,166.637,223.463,163.258,12.62,12.093,10.785,0.215,1.093,272.65,38.997,0.808,0.888,0.008,842.49,17.45,19.195,0.164,60.421,2650.32,0.88,1.136,0.344,9.383,18.922,-10.0,27.452,18.577,0.223,38.253,0.311,1.993,0.6,0.705,35.134
5400,1.0,300.369,169.855,227.779,166.244,12.851,12.122,10.789,0.219,1.113,272.377,39.71,0.822,0.905,0.008,841.644,17.432,19.175,0.163,60.585,2654.492,0.88,1.136,0.311,9.321,18.829,-10.0,27.332,18.517,0.223,39.101,0.306,1.991,0.593,0.707,35.237
5500,1.0,299.753,172.645,231.521,169.226,13.082,12.124,10.767,0.222,1.134,272.781,40.423,0.837,0.921,0.008,842.894,17.458,19.204,0.164,60.748,2658.692,0.88,1.136,0.278,9.259,18.736,-10.0,27.212,18.458,0.223,39.953,0.303,1.991,0.593,0.707,35.264
5600,1.0,299.848,175.84,235.806,172.205,13.312,12.152,10.771,0.226,1.156,272.539,41.134,0.852,0.937,0.008,842.146,17.442,19.187,0.164,60.909,2662.8,0.88,1.136,0.245,9.197,18.644,-10.0,27.093,18.399,0.223,40.81,0.298,1.989,0.587,0.709,35.367
5700,1.0,299.197,178.592,239.495,175.18,13.542,12.154,10.747,0.229,1.177,272.977,41.845,0.867,0.953,0.008,843.497,17.47,19.218,0.164,61.072,2666.811,0.88,1.136,0.213,9.136,18.553,-10.0,26.975,18.34,0.223,41.671,0.295,1.988,0.587,0.709,35.392
5800,1.0,299.258,181.762,243.746,178.152,13.772,12.182,10.749,0.233,1.199,272.766,42.555,0.881,0.97,0.008,842.847,17.457,19.203,0.164,61.234,2670.912,0.88,1.136,0.18,9.075,18.462,-10.0,26.857,18.282,0.223,42.538,0.291,1.986,0.581,0.71,35.493
