Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K),Lambda,Phi (φ),CA10 (deg),CA50 (deg),CA90 (deg),SOC (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),KnockIdx,Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),η_ind (%)
1000,1.0,175.508,18.379,24.647,26.331,1.706,6.858,6.304,0.037,0.517,334.149,5.271,0.051,0.13,0.001,1032.52,10.024,25.395,0.2,40.891,2105.917,1.05,0.952,-0.206,10.098,20.973,-12.0,30.698,21.179,0.188,6.331,1.777,1.428,0.685,0.4,27.813
1100,1.0,179.721,20.702,27.762,29.144,1.897,7.014,6.456,0.038,0.52,329.913,5.862,0.059,0.145,0.001,1019.432,10.227,25.205,0.198,41.452,2122.576,1.045,0.957,-0.223,10.067,20.925,-12.0,30.637,21.149,0.191,6.974,1.612,1.444,0.682,0.409,28.134
1200,1.0,184.467,23.181,31.086,31.99,2.092,7.189,6.626,0.038,0.524,324.963,6.466,0.067,0.161,0.001,1004.136,10.399,24.957,0.195,42.021,2138.747,1.04,0.962,-0.245,10.026,20.865,-12.0,30.559,21.11,0.193,7.622,1.471,1.459,0.675,0.419,28.522
1300,1.0,188.426,25.652,34.399,34.868,2.292,7.336,6.768,0.039,0.528,321.632,7.082,0.076,0.177,0.001,993.843,10.614,24.83,0.193,42.597,2154.507,1.035,0.966,-0.27,9.98,20.796,-12.0,30.469,21.066,0.195,8.274,1.355,1.475,0.674,0.428,28.788
1400,1.0,192.969,28.291,37.939,37.779,2.495,7.504,6.931,0.04,0.533,317.508,7.71,0.085,0.194,0.001,981.098,10.795,24.639,0.191,43.179,2169.913,1.03,0.971,-0.297,9.928,20.719,-12.0,30.369,21.016,0.198,8.932,1.252,1.491,0.669,0.438,29.129
1500,1.0,196.765,30.908,41.448,40.723,2.703,7.646,7.068,0.04,0.538,314.797,8.351,0.095,0.211,0.002,972.723,11.018,24.554,0.189,43.767,2185.02,1.025,0.976,-0.327,9.873,20.637,-12.0,30.263,20.963,0.2,9.594,1.165,1.508,0.669,0.446,29.358
1600,1.0,200.5,33.594,45.05,43.699,2.914,7.786,7.202,0.041,0.543,312.317,9.006,0.105,0.228,0.002,965.06,11.243,24.486,0.187,44.36,2199.862,1.02,0.98,-0.358,9.815,20.55,-12.0,30.15,20.908,0.202,10.261,1.09,1.525,0.67,0.454,29.571
1700,1.0,204.865,36.471,48.908,46.708,3.13,7.949,7.359,0.042,0.548,309.006,9.673,0.116,0.247,0.002,954.829,11.433,24.35,0.185,44.959,2214.477,1.015,0.985,-0.39,9.754,20.46,-12.0,30.033,20.85,0.204,10.933,1.02,1.541,0.666,0.463,29.863
1800,1.0,208.511,39.303,52.707,49.75,3.351,8.086,7.49,0.043,0.554,306.922,10.354,0.127,0.265,0.002,948.387,11.663,24.308,0.184,45.564,2228.889,1.01,0.99,-0.423,9.692,20.367,-12.0,29.913,20.79,0.206,11.609,0.961,1.558,0.667,0.471,30.051
1900,1.0,212.808,42.342,56.782,52.825,3.576,8.247,7.644,0.043,0.56,304.008,11.049,0.139,0.285,0.002,939.383,11.856,24.199,0.182,46.174,2243.123,1.005,0.995,-0.457,9.628,20.271,-12.0,29.79,20.729,0.208,12.29,0.906,1.575,0.664,0.481,30.319
