Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
4800,1.0,372.229,187.103,250.909,148.277,11.41,15.108,13.371,0.198,1.539,219.546,35.258,0.721,0.807,0.007,678.396,13.875,15.526,0.132,83.286,3149.901
4900,1.0,371.307,190.527,255.501,151.28,11.668,15.118,13.337,0.202,1.579,220.465,36.054,0.742,0.823,0.007,681.238,14.022,15.556,0.132,82.517,3146.155
5000,1.0,370.34,193.91,260.037,154.28,11.926,15.127,13.303,0.205,1.619,221.417,36.852,0.763,0.84,0.007,684.179,14.171,15.588,0.133,81.745,3142.375
5100,1.0,368.488,196.799,263.912,157.276,12.158,15.105,13.236,0.208,1.66,222.404,37.568,0.778,0.856,0.007,687.227,14.234,15.657,0.133,80.84,3133.796
5200,1.0,366.59,199.624,267.7,160.269,12.389,15.082,13.168,0.212,1.702,223.428,38.283,0.793,0.872,0.007,690.393,14.299,15.729,0.134,79.935,3125.326
5300,1.0,364.645,202.384,271.401,163.258,12.62,15.058,13.098,0.215,1.745,224.492,38.997,0.808,0.888,0.008,693.681,14.367,15.804,0.135,79.032,3116.752
5400,1.0,362.655,205.077,275.012,166.244,12.851,15.034,13.027,0.219,1.788,225.596,39.71,0.822,0.905,0.008,697.091,14.438,15.882,0.135,78.132,3108.216
5500,1.0,360.619,207.702,278.532,169.226,13.082,15.008,12.953,0.222,1.832,226.741,40.423,0.837,0.921,0.008,700.628,14.511,15.963,0.136,77.235,3099.689
5600,1.0,358.539,210.258,281.961,172.205,13.312,14.982,12.879,0.226,1.877,227.926,41.134,0.852,0.937,0.008,704.292,14.587,16.046,0.137,76.343,3091.108
5700,1.0,356.731,212.934,285.549,175.18,13.542,14.967,12.814,0.229,1.923,228.951,41.845,0.867,0.953,0.008,707.457,14.653,16.118,0.137,75.455,3082.661
5800,1.0,354.556,215.348,288.787,178.152,13.772,14.939,12.736,0.233,1.97,230.224,42.555,0.881,0.97,0.008,711.392,14.734,16.208,0.138,74.571,3074.142
5900,1.0,352.337,217.69,291.928,181.12,14.001,14.91,12.656,0.236,2.018,231.542,43.264,0.896,0.986,0.008,715.464,14.819,16.301,0.139,73.693,3065.683
6000,1.0,350.074,219.958,294.968,184.085,14.23,14.881,12.575,0.24,2.066,232.906,43.972,0.911,1.002,0.009,719.679,14.906,16.397,0.14,72.821,3057.255
6100,1.0,347.767,222.15,297.908,187.046,14.459,14.85,12.492,0.243,2.115,234.317,44.679,0.925,1.018,0.009,724.04,14.996,16.496,0.141,71.955,3048.792
6200,1.0,345.417,224.266,300.746,190.004,14.688,14.819,12.407,0.247,2.165,235.776,45.386,0.94,1.034,0.009,728.549,15.09,16.599,0.141,71.095,3040.473
6300,1.0,343.024,226.305,303.48,192.958,14.916,14.788,12.321,0.25,2.216,237.285,46.091,0.955,1.05,0.009,733.211,15.186,16.705,0.142,70.242,3032.12
6400,1.0,340.59,228.266,306.109,195.908,15.144,14.755,12.234,0.254,2.267,238.844,46.796,0.969,1.066,0.009,738.029,15.286,16.815,0.143,69.395,3023.837
6500,1.0,338.113,230.146,308.631,198.856,15.372,14.722,12.145,0.257,2.32,240.456,47.5,0.984,1.082,0.009,743.011,15.389,16.928,0.144,68.558,3015.609
6600,1.0,335.595,231.946,311.045,201.799,15.6,14.688,12.055,0.261,2.373,242.122,48.203,0.998,1.098,0.009,748.157,15.496,17.045,0.145,67.729,3007.364
6700,1.0,333.035,233.665,313.35,204.74,15.827,14.654,11.963,0.264,2.427,243.843,48.906,1.013,1.114,0.009,753.476,15.606,17.167,0.146,66.908,2999.271
6800,1.0,330.434,235.3,315.543,207.676,16.054,14.619,11.869,0.268,2.482,245.622,49.607,1.027,1.13,0.01,758.971,15.72,17.292,0.147,66.095,2991.167
6900,1.0,327.794,236.853,317.625,210.61,16.281,14.583,11.774,0.271,2.537,247.458,50.308,1.042,1.146,0.01,764.645,15.837,17.421,0.148,65.289,2983.138
7000,1.0,325.343,238.489,319.819,213.539,16.507,14.555,11.686,0.275,2.594,249.179,51.008,1.056,1.162,0.01,769.963,15.947,17.542,0.15,64.492,2975.195
