Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
4900,1.0,361.591,185.542,248.816,151.28,11.668,14.969,12.988,0.202,1.779,226.389,36.054,0.742,0.823,0.007,699.542,14.398,15.974,0.136,73.939,3058.936
5000,1.0,360.253,188.628,252.955,154.28,11.926,14.964,12.94,0.205,1.819,227.617,36.852,0.763,0.84,0.007,703.336,14.567,16.024,0.137,73.088,3054.139
5100,1.0,358.035,191.216,256.425,157.276,12.158,14.929,12.861,0.208,1.86,228.897,37.568,0.778,0.856,0.007,707.292,14.649,16.114,0.137,72.127,3044.78
5200,1.0,356.054,193.887,260.007,160.269,12.389,14.903,12.79,0.212,1.902,230.04,38.283,0.793,0.872,0.007,710.822,14.723,16.195,0.138,71.177,3035.476
5300,1.0,353.751,196.337,263.293,163.258,12.62,14.867,12.707,0.215,1.945,231.406,38.997,0.808,0.888,0.008,715.043,14.81,16.291,0.139,70.238,3026.279
5400,1.0,351.408,198.717,266.483,166.244,12.851,14.83,12.623,0.219,1.988,232.816,39.71,0.822,0.905,0.008,719.402,14.9,16.39,0.14,69.31,3017.198
5500,1.0,349.024,201.024,269.577,169.226,13.082,14.792,12.537,0.222,2.032,234.273,40.423,0.837,0.921,0.008,723.904,14.993,16.493,0.141,68.395,3008.178
5600,1.0,346.853,203.405,272.771,172.205,13.312,14.762,12.459,0.226,2.077,235.605,41.134,0.852,0.937,0.008,728.021,15.079,16.587,0.141,67.492,2999.218
5700,1.0,344.388,205.566,275.668,175.18,13.542,14.723,12.37,0.229,2.123,237.157,41.845,0.867,0.953,0.008,732.814,15.178,16.696,0.142,66.6,2990.361
5800,1.0,341.884,207.652,278.465,178.152,13.772,14.684,12.281,0.233,2.17,238.757,42.555,0.881,0.97,0.008,737.761,15.28,16.809,0.143,65.721,2981.641
5900,1.0,339.572,209.803,281.351,181.12,14.001,14.651,12.197,0.236,2.218,240.246,43.264,0.896,0.986,0.008,742.36,15.376,16.913,0.144,64.855,2972.998
6000,1.0,336.992,211.738,283.946,184.085,14.23,14.611,12.105,0.24,2.266,241.947,43.972,0.911,1.002,0.009,747.617,15.485,17.033,0.145,64.001,2964.43
