Engine Speed (RPM),Throttle,Lambda,Torque (Nm),Power (kW),Horsepower,IMEP (bar),BMEP (bar),PMEP (bar),FMEP (bar),BSFC (g/kWh),Air Flow(g/s),Fuel Flow(g/s),CO2 (g/s),CO (g/s),NOx (g/s),HC (g/s),CO2 (g/kWh),CO (g/kWh),NOx (g/kWh),HC (g/kWh),Pmax (bar),Tmax (K),KnockIdx,Phi,SOC (deg),CA10 (deg),CA50 (deg),CA90 (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),n_ind (%)
1000,1.0,1.1,233.179,24.418,32.746,8.551,8.376,0.037,0.138,240.073,26.331,1.628,5.032,0.075,0.126,0.001,741.826,11.043,18.63,0.144,53.237,2462.681,2.034,0.909,-8.023,-0.545,5.989,12.884,19.051,13.429,0.156,9.984,1.362,0.408,0.499,36.33
1100,1.0,1.1,235.876,27.171,36.437,8.661,8.473,0.038,0.151,238.802,29.144,1.802,5.569,0.084,0.139,0.001,737.899,11.176,18.455,0.143,53.743,2470.023,1.835,0.909,-8.027,-0.567,5.951,12.83,18.981,13.397,0.156,11.009,1.371,0.404,0.505,36.57
1200,1.0,1.1,238.393,29.957,40.173,8.767,8.563,0.038,0.165,237.739,31.99,1.978,6.113,0.094,0.152,0.001,734.613,11.316,18.296,0.143,54.245,2476.783,1.67,0.909,-8.031,-0.591,5.91,12.77,18.906,13.361,0.156,12.042,1.38,0.401,0.511,36.789
1300,1.0,1.1,241.576,32.887,44.102,8.898,8.677,0.039,0.181,236.044,34.868,2.156,6.663,0.104,0.165,0.001,729.377,11.425,18.09,0.142,54.746,2483.053,1.514,0.909,-8.035,-0.616,5.867,12.708,18.826,13.324,0.156,13.083,1.387,0.392,0.519,37.112
1400,1.0,1.1,243.837,35.748,47.939,8.997,8.759,0.04,0.199,235.282,37.779,2.336,7.219,0.115,0.178,0.001,727.021,11.576,17.957,0.141,55.245,2488.881,1.395,0.909,-8.039,-0.642,5.822,12.642,18.742,13.284,0.156,14.131,1.396,0.39,0.525,37.298
1500,1.0,1.1,245.993,38.641,51.818,9.094,8.836,0.04,0.217,234.632,40.723,2.518,7.782,0.126,0.191,0.002,725.012,11.732,17.832,0.141,55.742,2494.318,1.292,0.909,-8.043,-0.668,5.775,12.575,18.656,13.243,0.156,15.187,1.405,0.387,0.53,37.472
1600,1.0,1.1,248.846,41.694,55.913,9.217,8.939,0.041,0.237,233.339,43.699,2.702,8.351,0.137,0.205,0.002,721.018,11.854,17.659,0.14,56.236,2499.402,1.189,0.909,-8.047,-0.695,5.728,12.507,18.569,13.202,0.156,16.25,1.413,0.38,0.537,37.751
1700,1.0,1.1,250.831,44.654,59.882,9.31,9.01,0.042,0.258,232.878,46.708,2.889,8.926,0.149,0.218,0.002,719.593,12.017,17.55,0.14,56.728,2504.301,1.11,0.909,-8.05,-0.723,5.68,12.437,18.479,13.159,0.156,17.321,1.422,0.378,0.543,37.904
1800,1.0,1.1,252.741,47.64,63.887,9.401,9.078,0.043,0.28,232.493,49.75,3.077,9.507,0.161,0.231,0.002,718.404,12.183,17.446,0.139,57.219,2508.952,1.04,0.909,-8.054,-0.75,5.631,12.366,18.389,13.117,0.156,18.4,1.431,0.377,0.548,38.049
1900,1.0,1.1,255.357,50.808,68.134,9.518,9.172,0.043,0.303,231.472,52.825,3.267,10.094,0.174,0.244,0.002,715.249,12.314,17.296,0.139,57.708,2513.344,0.967,0.909,-8.058,-0.778,5.582,12.295,18.298,13.073,0.156,19.487,1.438,0.37,0.555,38.299
