Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
4300,1.0,65.299,29.404,39.431,133.057,10.125,4.081,2.346,0.18,1.555,1239.6,31.285,0.62,0.724,0.006,3830.364,75.864,88.656,0.744,39.547,1586.074
4400,1.0,65.924,30.376,40.735,136.151,10.383,4.142,2.368,0.184,1.59,1230.596,32.085,0.64,0.741,0.006,3802.541,75.805,87.815,0.738,39.789,1593.677
4500,1.0,65.173,30.712,41.186,139.246,10.643,4.155,2.341,0.187,1.626,1247.579,32.888,0.66,0.758,0.006,3855.02,77.35,88.828,0.749,40.03,1601.211
4600,1.0,65.641,31.62,42.403,142.259,10.898,4.212,2.358,0.191,1.663,1240.778,33.675,0.68,0.774,0.007,3834.004,77.425,88.145,0.744,40.248,1608.73
4700,1.0,64.703,31.846,42.706,145.27,11.154,4.219,2.324,0.194,1.701,1260.885,34.465,0.7,0.791,0.007,3896.133,79.184,89.371,0.757,40.465,1616.226
4800,1.0,65.138,32.742,43.907,148.277,11.41,4.277,2.34,0.198,1.739,1254.596,35.258,0.721,0.807,0.007,3876.701,79.29,88.725,0.753,40.684,1623.658
4900,1.0,64.14,32.912,44.136,151.28,11.668,4.284,2.304,0.202,1.779,1276.271,36.054,0.742,0.823,0.007,3943.677,81.171,90.054,0.766,40.902,1631.026
5000,1.0,64.543,33.795,45.32,154.28,11.926,4.342,2.318,0.205,1.819,1270.462,36.852,0.763,0.84,0.007,3925.726,81.31,89.44,0.762,41.119,1638.395
5100,1.0,63.195,33.75,45.26,157.276,12.158,4.339,2.27,0.208,1.86,1296.837,37.568,0.778,0.856,0.007,4007.227,82.998,91.297,0.778,41.274,1643.557
5200,1.0,63.268,34.452,46.201,160.269,12.389,4.387,2.273,0.212,1.902,1294.591,38.283,0.793,0.872,0.007,4000.286,82.854,91.139,0.777,41.427,1648.633
