Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K),Lambda,Phi (φ),CA10 (deg),CA50 (deg),CA90 (deg),SOC (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),KnockIdx,Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),η_ind (%)
1000,1.0,115.715,12.118,16.25,26.331,1.706,5.063,4.156,0.065,0.842,506.813,5.271,0.051,0.13,0.001,1566.053,15.204,38.518,0.304,41.115,1904.806,,,,,,,,,,,,,,,
1100,1.0,111.611,12.857,17.241,29.144,1.897,4.928,4.009,0.068,0.85,531.24,5.862,0.059,0.145,0.001,1641.532,16.468,40.587,0.319,38.398,1847.27,,,,,,,,,,,,,,,
1200,1.0,109.304,13.736,18.42,31.99,2.092,4.858,3.926,0.072,0.86,548.425,6.466,0.067,0.161,0.001,1694.634,17.55,42.119,0.329,35.869,1795.322,,,,,,,,,,,,,,,
1300,1.0,109.125,14.856,19.922,34.868,2.292,4.865,3.92,0.076,0.87,555.36,7.082,0.076,0.177,0.001,1716.062,18.327,42.874,0.333,34.7,1774.002,,,,,,,,,,,,,,,
1400,1.0,112.25,16.457,22.069,37.779,2.495,4.992,4.032,0.079,0.881,545.828,7.71,0.085,0.194,0.001,1686.607,18.558,42.356,0.327,35.234,1790.007,,,,,,,,,,,,,,,
1500,1.0,116.161,18.246,24.469,40.723,2.703,5.148,4.173,0.082,0.893,533.237,8.351,0.095,0.211,0.002,1647.701,18.663,41.592,0.32,35.771,1805.63,,,,,,,,,,,,,,,
1600,1.0,119.103,19.956,26.761,43.699,2.914,5.27,4.278,0.086,0.906,525.758,9.006,0.105,0.228,0.002,1624.592,18.927,41.219,0.315,36.311,1820.922,,,,,,,,,,,,,,,
1700,1.0,122.878,21.875,29.335,46.708,3.13,5.423,4.414,0.09,0.919,515.184,9.673,0.116,0.247,0.002,1591.918,19.062,40.596,0.309,36.854,1835.923,,,,,,,,,,,,,,,
1800,1.0,125.685,23.691,31.77,49.75,3.351,5.541,4.515,0.093,0.934,509.181,10.354,0.127,0.265,0.002,1573.368,19.349,40.327,0.306,37.401,1850.666,,,,,,,,,,,,,,,
1900,1.0,129.363,25.739,34.517,52.825,3.576,5.692,4.647,0.096,0.949,500.107,11.049,0.139,0.285,0.002,1545.332,19.504,39.809,0.3,37.952,1865.213,,,,,,,,,,,,,,,
2000,1.0,132.067,27.66,37.093,55.932,3.805,5.809,4.744,0.1,0.965,495.21,11.757,0.152,0.304,0.002,1530.2,19.808,39.617,0.297,38.507,1879.595,,,,,,,,,,,,,,,
2100,1.0,135.675,29.837,40.012,59.072,4.039,5.958,4.873,0.104,0.981,487.295,12.48,0.166,0.321,0.002,1505.743,19.979,38.789,0.292,39.065,1893.803,,,,,,,,,,,,,,,
2200,1.0,138.3,31.862,42.728,62.244,4.277,6.074,4.968,0.107,0.999,483.255,13.216,0.18,0.339,0.003,1493.259,20.297,38.274,0.29,39.627,1907.851,,,,,,,,,,,,,,,
2300,1.0,141.858,34.167,45.819,65.45,4.52,6.223,5.096,0.11,1.017,476.26,13.967,0.194,0.356,0.003,1471.645,20.479,37.529,0.286,40.194,1921.757,,,,,,,,,,,,,,,
2400,1.0,144.42,36.297,48.675,68.688,4.768,6.338,5.188,0.114,1.036,472.901,14.733,0.21,0.374,0.003,1461.263,20.808,37.075,0.284,40.765,1935.534,,,,,,,,,,,,,,,
2500,1.0,147.946,38.732,51.941,71.958,5.021,6.488,5.314,0.118,1.056,466.647,15.514,0.226,0.392,0.003,1441.939,20.999,36.398,0.28,41.34,1949.202,,,,,,,,,,,,,,,
2600,1.0,149.9,40.813,54.732,75.11,5.268,6.583,5.384,0.121,1.077,464.629,16.277,0.242,0.409,0.003,1435.703,21.373,36.055,0.279,41.838,1962.824,,,,,,,,,,,,,,,
2700,1.0,152.838,43.214,57.951,78.282,5.518,6.713,5.49,0.124,1.099,459.726,17.052,0.259,0.426,0.003,1420.553,21.607,35.491,0.276,42.338,1976.355,,,,,,,,,,,,,,,
2800,1.0,155.193,45.505,61.023,81.607,5.783,6.824,5.575,0.128,1.121,457.49,17.869,0.278,0.444,0.003,1413.646,21.96,35.135,0.274,42.91,1989.834,,,,,,,,,,,,,,,
2900,1.0,159.024,48.294,64.763,85.097,6.062,6.988,5.712,0.132,1.144,451.863,18.731,0.297,0.463,0.004,1396.256,22.141,34.522,0.271,43.554,2003.271,,,,,,,,,,,,,,,
3000,1.0,162.867,51.166,68.615,88.627,6.346,7.154,5.85,0.135,1.168,446.523,19.61,0.317,0.482,0.004,1379.755,22.326,33.936,0.268,44.205,2016.649,,,,,,,,,,,,,,,
3100,1.0,165.536,53.738,72.064,92.16,6.634,7.278,5.946,0.138,1.193,444.441,20.5,0.338,0.502,0.004,1373.324,22.667,33.6,0.267,44.844,2030.092,,,,,,,,,,,,,,,
3200,1.0,169.275,56.724,76.069,95.731,6.928,7.441,6.08,0.142,1.219,439.683,21.407,0.36,0.521,0.004,1358.62,22.864,33.064,0.264,45.489,2043.494,,,,,,,,,,,,,,,
