Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K),Lambda,Phi (φ),CA10 (deg),CA50 (deg),CA90 (deg),SOC (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),KnockIdx,Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),η_ind (%)
1000,1.0,195.818,20.506,27.499,26.331,1.706,7.669,7.034,0.065,0.57,299.492,5.271,0.051,0.13,0.001,925.43,8.985,22.761,0.18,47.805,2294.42,1.05,0.952,-0.667,7.488,16.093,-10.0,23.789,16.76,0.185,8.0,1.984,1.427,0.589,0.447,31.1
1100,1.0,192.121,22.131,29.678,29.144,1.897,7.544,6.901,0.068,0.574,308.619,5.862,0.059,0.145,0.001,953.634,9.567,23.579,0.185,44.665,2236.667,1.045,0.957,0.266,9.236,18.702,-10.0,27.168,18.436,0.188,8.0,1.68,1.444,0.616,0.44,30.259
1200,1.0,189.456,23.808,31.927,31.99,2.092,7.456,6.805,0.072,0.579,316.405,6.466,0.067,0.161,0.001,977.693,10.125,24.3,0.19,41.728,2183.498,1.04,0.962,1.199,10.985,21.312,-10.0,30.547,20.112,0.19,8.0,1.413,1.459,0.634,0.435,29.582
1300,1.0,189.275,25.767,34.554,34.868,2.292,7.458,6.799,0.076,0.584,320.19,7.082,0.076,0.177,0.001,989.389,10.566,24.719,0.192,40.335,2160.849,1.035,0.966,1.735,11.988,22.808,-10.0,32.484,21.073,0.192,8.271,1.237,1.475,0.646,0.435,29.267
1400,1.0,192.999,28.295,37.944,37.779,2.495,7.6,6.933,0.079,0.589,317.459,7.71,0.085,0.194,0.001,980.948,10.794,24.635,0.19,40.879,2175.838,1.03,0.971,1.707,11.936,22.73,-10.0,32.384,21.024,0.195,8.929,1.144,1.492,0.646,0.443,29.503
1500,1.0,197.282,30.989,41.557,40.723,2.703,7.763,7.086,0.082,0.594,313.972,8.351,0.095,0.211,0.002,970.175,10.989,24.49,0.188,41.429,2190.529,1.025,0.976,1.677,11.88,22.647,-10.0,32.276,20.97,0.197,9.591,1.062,1.508,0.641,0.453,29.809
1600,1.0,200.882,33.658,45.136,43.699,2.914,7.902,7.216,0.086,0.601,311.723,9.006,0.105,0.228,0.002,963.225,11.222,24.439,0.187,41.984,2204.959,1.02,0.98,1.646,11.822,22.56,-10.0,32.163,20.914,0.199,10.258,0.992,1.525,0.642,0.461,30.013
1700,1.0,205.066,36.507,48.956,46.708,3.13,8.062,7.366,0.09,0.607,308.704,9.673,0.116,0.247,0.002,953.896,11.422,24.326,0.185,42.546,2219.18,1.015,0.985,1.613,11.761,22.469,-10.0,32.046,20.856,0.201,10.929,0.928,1.541,0.638,0.47,30.29
1800,1.0,208.582,39.317,52.725,49.75,3.351,8.199,7.492,0.093,0.614,306.817,10.354,0.127,0.265,0.002,948.063,11.659,24.3,0.184,43.113,2233.257,1.01,0.99,1.58,11.698,22.376,-10.0,31.925,20.796,0.203,11.606,0.874,1.558,0.639,0.478,30.47
1900,1.0,212.703,42.321,56.753,52.825,3.576,8.358,7.64,0.096,0.621,304.159,11.049,0.139,0.285,0.002,939.851,11.862,24.211,0.182,43.685,2247.169,1.005,0.995,1.546,11.634,22.28,-10.0,31.801,20.734,0.205,12.287,0.823,1.575,0.636,0.487,30.724
2000,1.0,216.165,45.273,60.713,55.932,3.805,8.493,7.765,0.1,0.628,302.553,11.757,0.152,0.304,0.002,934.887,12.102,24.204,0.182,44.263,2260.933,1.0,1.0,1.511,11.569,22.183,-10.0,31.675,20.672,0.207,12.973,0.779,1.592,0.638,0.495,30.885
2100,1.0,220.246,48.435,64.952,59.072,4.039,8.651,7.911,0.104,0.636,300.183,12.48,0.166,0.321,0.002,927.566,12.308,23.895,0.18,44.847,2274.565,0.995,1.005,1.476,11.503,22.084,-10.0,31.547,20.608,0.209,13.663,0.737,1.609,0.635,0.504,31.121
2200,1.0,223.674,51.531,69.104,62.244,4.277,8.786,8.034,0.107,0.645,298.802,13.216,0.18,0.339,0.003,923.298,12.55,23.665,0.179,45.436,2288.083,0.99,1.01,1.44,11.436,21.984,-10.0,31.418,20.544,0.21,14.358,0.701,1.627,0.637,0.512,31.266
2300,1.0,227.738,54.852,73.558,65.45,4.52,8.944,8.18,0.11,0.653,296.663,13.967,0.194,0.356,0.003,916.688,12.757,23.377,0.178,46.031,2301.539,0.985,1.015,1.404,11.368,21.884,-10.0,31.287,20.48,0.212,15.058,0.667,1.645,0.635,0.522,31.486
2400,1.0,231.15,58.094,77.906,68.688,4.768,9.079,8.303,0.114,0.663,295.463,14.733,0.21,0.374,0.003,912.982,13.0,23.164,0.177,46.631,2314.974,0.98,1.02,1.368,11.301,21.782,-10.0,31.156,20.415,0.214,15.763,0.637,1.663,0.638,0.529,31.618
2500,1.0,235.214,61.579,82.578,71.958,5.021,9.238,8.449,0.118,0.672,293.515,15.514,0.226,0.392,0.003,906.96,13.208,22.894,0.176,47.237,2328.331,0.975,1.026,1.331,11.232,21.681,-10.0,31.025,20.349,0.215,16.472,0.608,1.681,0.635,0.539,31.825
2600,1.0,237.949,64.787,86.88,75.11,5.268,9.35,8.547,0.121,0.682,292.701,16.277,0.242,0.409,0.003,904.447,13.464,22.714,0.176,47.761,2341.814,0.97,1.031,1.295,11.164,21.579,-10.0,30.893,20.284,0.217,17.187,0.586,1.696,0.638,0.545,31.928
2700,1.0,241.342,68.238,91.509,78.282,5.518,9.486,8.669,0.124,0.692,291.136,17.052,0.259,0.426,0.003,899.61,13.683,22.476,0.175,48.288,2355.24,0.965,1.036,1.259,11.096,21.477,-10.0,30.761,20.218,0.218,17.905,0.564,1.71,0.635,0.553,32.108
2800,1.0,244.61,71.724,96.183,81.607,5.783,9.617,8.786,0.128,0.703,290.254,17.869,0.278,0.444,0.003,896.885,13.932,22.292,0.174,48.893,2368.569,0.96,1.042,1.222,11.027,21.375,-10.0,30.629,20.153,0.219,18.629,0.543,1.729,0.639,0.561,32.215
2900,1.0,249.105,75.65,101.448,85.097,6.062,9.793,8.948,0.132,0.714,288.461,18.731,0.297,0.463,0.004,891.345,14.135,22.038,0.173,49.577,2381.707,0.955,1.047,1.186,10.959,21.273,-10.0,30.497,20.087,0.22,19.357,0.519,1.749,0.637,0.571,32.413
3000,1.0,253.62,79.677,106.849,88.627,6.346,9.97,9.11,0.135,0.725,286.744,19.61,0.317,0.482,0.004,886.038,14.337,21.793,0.172,50.268,2394.817,0.95,1.053,1.149,10.891,21.171,-10.0,30.365,20.022,0.221,20.09,0.497,1.77,0.636,0.581,32.606
3100,1.0,257.33,83.537,112.026,92.16,6.634,10.119,9.243,0.138,0.737,285.901,20.5,0.338,0.502,0.004,883.434,14.581,21.614,0.172,50.948,2407.93,0.945,1.058,1.113,10.822,21.069,-10.0,30.233,19.957,0.222,20.828,0.478,1.791,0.64,0.59,32.711
3200,1.0,261.746,87.712,117.624,95.731,6.928,10.293,9.402,0.142,0.749,284.348,21.407,0.36,0.521,0.004,878.636,14.786,21.383,0.171,51.634,2421.114,0.94,1.064,1.076,10.754,20.968,-10.0,30.101,19.891,0.223,21.57,0.459,1.811,0.639,0.6,32.891
3300,1.0,265.277,91.673,122.936,99.281,7.223,10.436,9.529,0.146,0.762,283.661,22.32,0.383,0.54,0.004,876.511,15.034,21.218,0.17,52.3,2434.389,0.935,1.07,1.04,10.687,20.866,-10.0,29.97,19.826,0.224,22.317,0.444,1.832,0.643,0.608,32.984
