Engine Speed (RPM),Throttle,Lambda,Torque (Nm),Power (kW),Horsepower,IMEP (bar),BMEP (bar),PMEP (bar),FMEP (bar),BSFC (g/kWh),Air Flow(g/s),Fuel Flow(g/s),CO2 (g/s),CO (g/s),NOx (g/s),HC (g/s),CO2 (g/kWh),CO (g/kWh),NOx (g/kWh),HC (g/kWh),Pmax (bar),Tmax (K),KnockIdx,Phi,SOC (deg),CA10 (deg),CA50 (deg),CA90 (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),n_ind (%)
1000,1.0,0.952,266.665,27.925,37.448,9.754,9.579,0.037,0.138,242.453,26.331,1.881,5.811,0.087,0.146,0.001,749.179,11.153,18.814,0.145,59.731,2705.665,2.429,1.05,-8.52,-1.089,5.405,12.257,18.386,13.346,0.218,10.047,1.574,0.471,0.569,35.88
1100,1.0,0.948,271.826,31.312,41.99,9.952,9.764,0.038,0.15,240.38,29.144,2.091,6.461,0.098,0.162,0.001,742.774,11.25,18.577,0.144,60.461,2721.228,2.179,1.055,-8.52,-1.102,5.379,12.218,18.335,13.32,0.219,11.072,1.59,0.461,0.58,36.224
1200,1.0,0.944,275.887,34.669,46.492,10.113,9.91,0.038,0.164,239.357,31.99,2.305,7.123,0.11,0.177,0.001,739.613,11.393,18.421,0.144,61.195,2736.306,1.991,1.059,-8.519,-1.118,5.349,12.173,18.276,13.291,0.22,12.106,1.607,0.459,0.59,36.421
1300,1.0,0.94,279.831,38.095,51.086,10.27,10.052,0.039,0.18,238.485,34.868,2.524,7.798,0.122,0.193,0.002,736.917,11.543,18.277,0.143,61.933,2750.987,1.832,1.064,-8.518,-1.135,5.316,12.123,18.211,13.258,0.221,13.147,1.625,0.457,0.599,36.601
1400,1.0,0.936,283.68,41.59,55.773,10.426,10.19,0.04,0.196,237.737,37.779,2.747,8.487,0.135,0.21,0.002,734.608,11.697,18.144,0.143,62.676,2765.334,1.696,1.069,-8.517,-1.153,5.28,12.07,18.142,13.223,0.221,14.196,1.642,0.456,0.608,36.766
1500,1.0,0.932,288.367,45.297,60.744,10.612,10.358,0.04,0.214,236.343,40.723,2.974,9.189,0.149,0.226,0.002,730.3,11.817,17.962,0.142,63.423,2779.381,1.562,1.073,-8.516,-1.173,5.243,12.014,18.069,13.187,0.222,15.252,1.658,0.448,0.619,37.033
1600,1.0,0.927,292.074,48.937,65.626,10.765,10.491,0.041,0.232,235.804,43.699,3.205,9.905,0.163,0.243,0.002,728.633,11.979,17.846,0.141,64.173,2793.167,1.46,1.078,-8.515,-1.193,5.204,11.955,17.993,13.148,0.222,16.316,1.676,0.448,0.628,37.173
1700,1.0,0.923,295.726,52.646,70.6,10.916,10.623,0.042,0.252,235.343,46.708,3.442,10.635,0.178,0.259,0.002,727.208,12.144,17.735,0.141,64.928,2806.747,1.369,1.083,-8.513,-1.214,5.165,11.896,17.915,13.109,0.222,17.388,1.694,0.448,0.636,37.304
1800,1.0,0.919,300.239,56.594,75.893,11.1,10.785,0.043,0.272,234.241,49.75,3.682,11.379,0.193,0.276,0.002,723.806,12.274,17.577,0.141,65.691,2820.273,1.275,1.088,-8.512,-1.235,5.124,11.834,17.836,13.069,0.223,18.467,1.711,0.441,0.647,37.536
1900,1.0,0.915,303.808,60.448,81.062,11.25,10.913,0.043,0.294,233.918,52.825,3.928,12.137,0.209,0.293,0.002,722.806,12.444,17.478,0.14,66.458,2833.632,1.205,1.093,-8.511,-1.256,5.083,11.772,17.755,13.029,0.223,19.554,1.73,0.442,0.656,37.649
2000,1.0,0.911,307.341,64.369,86.321,11.4,11.04,0.044,0.316,233.651,55.932,4.178,12.909,0.226,0.311,0.003,721.983,12.617,17.384,0.14,67.23,2846.843,1.141,1.098,-8.51,-1.278,5.041,11.709,17.673,12.987,0.223,20.648,1.748,0.443,0.665,37.756
2100,1.0,0.909,309.663,68.099,91.322,11.507,11.123,0.045,0.339,233.809,59.072,4.423,13.666,0.241,0.328,0.003,722.47,12.719,17.358,0.14,67.217,2844.675,1.068,1.101,-8.509,-1.179,5.225,11.984,18.028,13.163,0.223,21.391,1.762,0.443,0.671,37.8
2200,1.0,0.906,311.063,71.664,96.103,11.582,11.173,0.045,0.364,234.668,62.244,4.671,14.435,0.256,0.346,0.003,725.123,12.86,17.384,0.141,67.175,2842.104,1.013,1.103,-8.507,-1.077,5.416,12.268,18.395,13.345,0.223,22.105,1.777,0.449,0.675,37.737
2300,1.0,0.904,313.309,75.462,101.197,11.689,11.254,0.046,0.389,234.89,65.45,4.924,15.214,0.272,0.364,0.003,725.81,12.966,17.363,0.141,67.105,2839.112,0.951,1.106,-8.506,-0.971,5.613,12.561,18.775,13.532,0.223,22.789,1.791,0.449,0.682,37.775
2400,1.0,0.902,314.657,79.082,106.051,11.764,11.303,0.047,0.415,235.789,68.688,5.18,16.005,0.288,0.382,0.003,728.589,13.11,17.392,0.141,67.014,2835.848,0.902,1.109,-8.505,-0.861,5.817,12.865,19.168,13.727,0.223,23.443,1.806,0.455,0.686,37.71
2500,1.0,0.9,316.832,82.946,111.233,11.87,11.381,0.048,0.441,236.072,71.958,5.439,16.807,0.305,0.4,0.003,729.463,13.22,17.375,0.142,66.893,2832.215,0.848,1.111,-8.504,-0.748,6.029,13.18,19.576,13.928,0.223,24.067,1.82,0.455,0.692,37.742
2600,1.0,0.898,317.346,86.404,115.87,11.916,11.399,0.048,0.469,237.117,75.11,5.691,17.585,0.321,0.418,0.003,732.693,13.373,17.414,0.142,66.617,2828.504,0.81,1.114,-8.502,-0.63,6.248,13.507,19.999,14.137,0.223,24.66,1.832,0.46,0.695,37.663
2700,1.0,0.896,317.839,89.867,120.513,11.963,11.417,0.049,0.498,238.181,78.282,5.946,18.372,0.338,0.436,0.004,735.98,13.529,17.454,0.143,66.312,2824.305,0.773,1.116,-8.501,-0.508,6.476,13.846,20.437,14.354,0.222,25.221,1.843,0.466,0.698,37.584
2800,1.0,0.894,318.945,93.52,125.412,12.033,11.457,0.05,0.527,239.172,81.607,6.213,19.199,0.355,0.454,0.004,739.04,13.681,17.488,0.144,66.073,2819.55,0.735,1.119,-8.499,-0.381,6.713,14.198,20.893,14.579,0.222,25.751,1.857,0.471,0.702,37.517
2900,1.0,0.891,321.458,97.623,130.914,12.154,11.547,0.05,0.557,239.494,85.097,6.494,20.068,0.374,0.474,0.004,740.037,13.795,17.473,0.144,65.898,2814.053,0.69,1.122,-8.498,-0.249,6.959,14.565,21.367,14.814,0.222,26.249,1.873,0.47,0.709,37.548
3000,1.0,0.889,323.145,101.519,136.139,12.247,11.607,0.051,0.588,240.434,88.627,6.78,20.951,0.393,0.494,0.004,742.94,13.945,17.504,0.144,65.689,2808.083,0.653,1.125,-8.496,-0.112,7.215,14.946,21.86,15.057,0.222,26.714,1.89,0.475,0.714,37.489
3100,1.0,0.888,325.644,105.714,141.765,12.369,11.697,0.052,0.62,240.407,92.16,7.06,21.814,0.411,0.513,0.004,742.858,13.992,17.482,0.144,66.332,2814.174,0.627,1.126,-8.495,-0.138,7.164,14.87,21.761,15.008,0.222,27.696,1.905,0.476,0.721,37.577
3200,1.0,0.887,328.109,109.95,147.446,12.491,11.786,0.052,0.653,240.409,95.731,7.343,22.688,0.429,0.533,0.004,742.865,14.04,17.463,0.144,66.975,2820.252,0.602,1.127,-8.493,-0.164,7.114,14.794,21.662,14.958,0.222,28.685,1.921,0.478,0.728,37.662
3300,1.0,0.886,331.092,114.417,153.436,12.633,11.893,0.053,0.687,239.901,99.281,7.625,23.56,0.447,0.553,0.005,741.293,14.058,17.407,0.144,67.583,2826.309,0.574,1.129,-8.492,-0.19,7.063,14.718,21.563,14.908,0.221,29.68,1.933,0.472,0.737,37.826
3400,1.0,0.885,333.026,118.573,159.009,12.737,11.962,0.054,0.721,240.019,102.806,7.906,24.428,0.465,0.573,0.005,741.659,14.113,17.397,0.144,68.157,2832.368,0.554,1.13,-8.49,-0.216,7.013,14.642,21.465,14.859,0.221,30.681,1.946,0.473,0.743,37.899
3500,1.0,0.884,335.713,123.045,165.006,12.87,12.059,0.054,0.757,239.602,106.361,8.189,25.305,0.483,0.593,0.005,740.37,14.137,17.347,0.144,68.731,2838.308,0.531,1.132,-8.488,-0.242,6.963,14.567,21.367,14.809,0.221,31.689,1.957,0.468,0.75,38.053
3600,1.0,0.882,336.95,127.027,170.346,12.951,12.103,0.055,0.793,239.856,109.778,8.463,26.152,0.501,0.612,0.005,741.156,14.199,17.346,0.144,69.208,2844.513,0.515,1.133,-8.487,-0.268,6.914,14.492,21.269,14.76,0.221,32.703,1.967,0.469,0.755,38.113
3700,1.0,0.881,338.153,131.022,175.703,13.032,12.146,0.056,0.83,240.135,113.216,8.74,27.006,0.519,0.631,0.005,742.017,14.264,17.347,0.144,69.684,2850.687,0.5,1.135,-8.485,-0.294,6.864,14.417,21.172,14.711,0.221,33.724,1.977,0.469,0.76,38.17
3800,1.0,0.88,339.952,135.279,181.412,13.135,12.211,0.057,0.868,239.902,116.631,9.015,27.856,0.537,0.651,0.005,741.297,14.298,17.311,0.144,70.142,2856.825,0.482,1.136,-8.483,-0.319,6.815,14.343,21.075,14.662,0.221,34.751,1.985,0.464,0.766,38.306
3900,1.0,0.879,340.778,139.176,186.639,13.204,12.241,0.057,0.906,240.266,120.019,9.289,28.702,0.555,0.67,0.006,742.423,14.368,17.318,0.144,70.575,2862.924,0.47,1.138,-8.482,-0.344,6.766,14.269,20.979,14.613,0.22,35.784,1.993,0.464,0.77,38.355
4000,1.0,0.878,341.573,143.078,191.871,13.273,12.269,0.058,0.946,240.653,123.424,9.564,29.554,0.574,0.689,0.006,743.618,14.439,17.327,0.144,71.007,2868.924,0.458,1.139,-8.48,-0.37,6.717,14.195,20.883,14.565,0.22,36.824,2.002,0.465,0.774,38.403
4100,1.0,0.876,342.855,147.205,197.405,13.36,12.315,0.059,0.986,240.609,126.653,9.839,30.401,0.594,0.707,0.006,743.482,14.533,17.285,0.144,71.398,2877.441,0.446,1.142,-8.478,-0.395,6.668,14.121,20.787,14.516,0.22,37.87,2.008,0.46,0.779,38.518
