Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K),Lambda,Phi (φ),CA10 (deg),CA50 (deg),CA90 (deg),SOC (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),KnockIdx,Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),η_ind (%)
1000,1.0,175.351,18.363,24.625,26.331,1.706,6.853,6.299,0.037,0.517,334.449,5.271,0.051,0.13,0.001,1033.446,10.033,25.418,0.201,38.339,2090.735,1.05,0.952,1.799,12.109,22.988,-10.0,32.718,21.189,0.185,6.328,1.586,1.428,0.674,0.4,27.79
1100,1.0,179.515,20.679,27.731,29.144,1.897,7.006,6.448,0.038,0.52,330.291,5.862,0.059,0.145,0.001,1020.598,10.239,25.234,0.198,38.864,2107.223,1.045,0.957,1.782,12.076,22.939,-10.0,32.655,21.158,0.188,6.971,1.438,1.444,0.671,0.409,28.104
1200,1.0,184.187,23.146,31.039,31.99,2.092,7.179,6.616,0.038,0.524,325.458,6.466,0.067,0.161,0.001,1005.664,10.415,24.995,0.195,39.397,2123.232,1.04,0.962,1.76,12.035,22.878,-10.0,32.576,21.119,0.19,7.619,1.311,1.459,0.664,0.419,28.482
1300,1.0,188.112,25.609,34.342,34.868,2.292,7.325,6.757,0.039,0.528,322.169,7.082,0.076,0.177,0.001,995.503,10.632,24.871,0.193,39.937,2138.812,1.035,0.966,1.735,11.988,22.808,-10.0,32.484,21.073,0.192,8.271,1.207,1.475,0.663,0.427,28.744
1400,1.0,191.952,28.142,37.739,37.779,2.495,7.468,6.895,0.04,0.533,319.191,7.71,0.085,0.194,0.001,986.3,10.852,24.769,0.192,40.483,2154.028,1.03,0.971,1.707,11.936,22.73,-10.0,32.384,21.024,0.195,8.929,1.118,1.492,0.663,0.435,28.987
1500,1.0,196.363,30.845,41.363,40.723,2.703,7.632,7.053,0.04,0.538,315.441,8.351,0.095,0.211,0.002,974.713,11.04,24.604,0.189,41.035,2168.929,1.025,0.976,1.677,11.88,22.647,-10.0,32.276,20.97,0.197,9.591,1.037,1.508,0.658,0.445,29.303
1600,1.0,200.078,33.523,44.956,43.699,2.914,7.771,7.187,0.041,0.543,312.976,9.006,0.105,0.228,0.002,967.096,11.267,24.537,0.188,41.593,2183.606,1.02,0.98,1.646,11.822,22.56,-10.0,32.163,20.914,0.199,10.258,0.97,1.525,0.659,0.453,29.514
1700,1.0,204.391,36.386,48.795,46.708,3.13,7.932,7.342,0.042,0.548,309.724,9.673,0.116,0.247,0.002,957.047,11.46,24.406,0.186,42.155,2198.057,1.015,0.985,1.613,11.761,22.469,-10.0,32.046,20.856,0.201,10.929,0.907,1.541,0.655,0.462,29.799
1800,1.0,208.022,39.211,52.583,49.75,3.351,8.069,7.472,0.043,0.554,307.643,10.354,0.127,0.265,0.002,950.617,11.69,24.365,0.185,42.724,2212.311,1.01,0.99,1.58,11.698,22.376,-10.0,31.925,20.796,0.203,11.606,0.854,1.558,0.656,0.47,29.986
1900,1.0,212.272,42.235,56.638,52.825,3.576,8.228,7.625,0.043,0.56,304.775,11.049,0.139,0.285,0.002,941.756,11.886,24.26,0.183,43.297,2226.39,1.005,0.995,1.546,11.634,22.28,-10.0,31.801,20.734,0.205,12.287,0.805,1.575,0.653,0.48,30.248
2000,1.0,215.85,45.207,60.624,55.932,3.805,8.364,7.753,0.044,0.566,302.994,11.757,0.152,0.304,0.002,936.251,12.12,24.24,0.182,43.876,2240.311,1.0,1.0,1.511,11.569,22.183,-10.0,31.675,20.672,0.207,12.973,0.762,1.592,0.655,0.488,30.415
2100,1.0,220.062,48.394,64.898,59.072,4.039,8.523,7.905,0.045,0.573,300.433,12.48,0.166,0.321,0.002,928.338,12.318,23.914,0.18,44.461,2254.097,0.995,1.005,1.476,11.503,22.084,-10.0,31.547,20.608,0.209,13.663,0.721,1.609,0.652,0.497,30.658
2200,1.0,223.607,51.515,69.083,62.244,4.277,8.658,8.032,0.045,0.58,298.891,13.216,0.18,0.339,0.003,923.574,12.553,23.672,0.179,45.05,2267.787,0.99,1.01,1.44,11.436,21.984,-10.0,31.418,20.544,0.21,14.358,0.687,1.627,0.654,0.505,30.808
2300,1.0,227.801,54.867,73.578,65.45,4.52,8.816,8.183,0.046,0.588,296.581,13.967,0.194,0.356,0.003,916.435,12.753,23.371,0.178,45.646,2281.448,0.985,1.015,1.404,11.368,21.884,-10.0,31.287,20.48,0.212,15.058,0.653,1.645,0.652,0.514,31.035
2400,1.0,231.33,58.14,77.966,68.688,4.768,8.951,8.309,0.047,0.595,295.233,14.733,0.21,0.374,0.003,912.271,12.99,23.146,0.177,46.247,2295.017,0.98,1.02,1.368,11.301,21.782,-10.0,31.156,20.415,0.214,15.763,0.624,1.663,0.655,0.522,31.172
2500,1.0,235.525,61.66,82.688,71.958,5.021,9.111,8.46,0.048,0.603,293.127,15.514,0.226,0.392,0.003,905.763,13.191,22.864,0.176,46.853,2308.502,0.975,1.026,1.331,11.232,21.681,-10.0,31.025,20.349,0.215,16.472,0.595,1.681,0.653,0.531,31.386
2600,1.0,238.385,64.905,87.039,75.11,5.268,9.223,8.563,0.048,0.612,292.166,16.277,0.242,0.409,0.003,902.793,13.44,22.672,0.175,47.378,2322.102,0.97,1.031,1.295,11.164,21.579,-10.0,30.893,20.284,0.217,17.187,0.574,1.696,0.655,0.538,31.493
2700,1.0,241.917,68.4,91.727,78.282,5.518,9.359,8.69,0.049,0.62,290.444,17.052,0.259,0.426,0.003,897.473,13.651,22.422,0.174,47.906,2335.718,0.965,1.036,1.259,11.096,21.477,-10.0,30.761,20.218,0.218,17.905,0.553,1.71,0.652,0.546,31.678
2800,1.0,245.308,71.928,96.457,81.607,5.783,9.49,8.811,0.05,0.629,289.429,17.869,0.278,0.444,0.003,894.334,13.893,22.228,0.174,48.511,2349.175,0.96,1.042,1.222,11.027,21.375,-10.0,30.629,20.153,0.219,18.629,0.532,1.729,0.656,0.553,31.791
2900,1.0,249.935,75.902,101.786,85.097,6.062,9.667,8.978,0.05,0.639,287.503,18.731,0.297,0.463,0.004,888.383,14.088,21.965,0.173,49.195,2362.431,0.955,1.047,1.186,10.959,21.273,-10.0,30.497,20.087,0.22,19.357,0.509,1.749,0.654,0.564,31.994
3000,1.0,254.584,79.98,107.255,88.627,6.346,9.844,9.145,0.051,0.648,285.658,19.61,0.317,0.482,0.004,882.684,14.283,21.71,0.171,49.885,2375.647,0.95,1.053,1.149,10.891,21.171,-10.0,30.365,20.022,0.221,20.09,0.487,1.77,0.653,0.574,32.193
3100,1.0,258.418,83.891,112.499,92.16,6.634,9.992,9.282,0.052,0.658,284.697,20.5,0.338,0.502,0.004,879.715,14.52,21.523,0.171,50.565,2388.923,0.945,1.058,1.113,10.822,21.069,-10.0,30.233,19.957,0.222,20.828,0.469,1.791,0.657,0.583,32.302
3200,1.0,262.972,88.123,118.175,95.731,6.928,10.167,9.446,0.052,0.668,283.023,21.407,0.36,0.521,0.004,874.541,14.717,21.283,0.17,51.251,2402.255,0.94,1.064,1.076,10.754,20.968,-10.0,30.101,19.891,0.223,21.57,0.451,1.811,0.656,0.593,32.488
3300,1.0,266.629,92.14,123.562,99.281,7.223,10.31,9.577,0.053,0.679,282.222,22.32,0.383,0.54,0.004,872.066,14.958,21.11,0.169,51.917,2415.624,0.935,1.07,1.04,10.687,20.866,-10.0,29.97,19.826,0.224,22.317,0.436,1.832,0.661,0.601,32.584
3400,1.0,270.809,96.421,129.303,102.806,7.52,10.471,9.727,0.054,0.69,280.769,23.237,0.406,0.559,0.005,867.576,15.162,20.889,0.168,52.561,2429.036,0.93,1.075,1.004,10.619,20.765,-10.0,29.839,19.761,0.224,23.069,0.421,1.85,0.659,0.611,32.754
3500,1.0,274.287,100.531,134.815,106.361,7.822,10.608,9.852,0.054,0.701,280.107,24.17,0.43,0.579,0.005,865.53,15.406,20.728,0.168,53.21,2442.474,0.925,1.081,0.968,10.551,20.665,-10.0,29.709,19.697,0.225,23.826,0.408,1.87,0.663,0.619,32.838
3600,1.0,277.942,104.782,140.514,109.778,8.117,10.752,9.984,0.055,0.713,278.887,25.082,0.455,0.597,0.005,861.761,15.618,20.526,0.167,53.79,2456.163,0.92,1.087,0.932,10.484,20.564,-10.0,29.579,19.632,0.225,24.587,0.397,1.887,0.661,0.627,32.989
3700,1.0,280.879,108.83,145.944,113.216,8.417,10.87,10.089,0.056,0.725,278.435,26.009,0.48,0.616,0.005,860.363,15.871,20.381,0.167,54.375,2469.845,0.915,1.093,0.896,10.417,20.464,-10.0,29.45,19.568,0.225,25.353,0.387,1.904,0.665,0.634,33.056
3800,1.0,284.422,113.182,151.779,116.631,8.719,11.01,10.216,0.057,0.737,277.321,26.941,0.506,0.635,0.005,856.922,16.085,20.189,0.166,54.947,2483.554,0.91,1.099,0.861,10.351,20.365,-10.0,29.321,19.504,0.225,26.123,0.377,1.92,0.663,0.642,33.198
