Engine Speed (RPM),Throttle,Lambda,Torque (Nm),Power (kW),Horsepower,IMEP (bar),BMEP (bar),PMEP (bar),FMEP (bar),BSFC (g/kWh),Air Flow(g/s),Fuel Flow(g/s),CO2 (g/s),CO (g/s),NOx (g/s),HC (g/s),CO2 (g/kWh),CO (g/kWh),NOx (g/kWh),HC (g/kWh),Pmax (bar),Tmax (K),KnockIdx,Phi,SOC (deg),CA10 (deg),CA50 (deg),CA90 (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),n_ind (%)
1000,1.0,0.96,251.542,26.341,35.324,9.692,9.035,0.037,0.62,255.002,26.331,1.866,5.766,0.09,0.143,0.001,787.957,12.24,19.584,0.153,58.472,2685.399,2.336,1.042,-7.94,-0.507,5.988,12.842,18.972,13.349,0.216,10.044,1.561,0.463,0.565,35.937
1100,1.0,0.958,255.196,29.396,39.421,9.834,9.167,0.038,0.63,253.44,29.144,2.07,6.395,0.1,0.159,0.001,783.129,12.266,19.424,0.152,59.092,2696.846,2.112,1.044,-7.94,-0.521,5.961,12.802,18.92,13.324,0.217,11.07,1.575,0.459,0.573,36.163
1200,1.0,0.956,259.614,32.624,43.75,10.005,9.325,0.038,0.641,251.189,31.99,2.276,7.034,0.111,0.174,0.001,776.173,12.258,19.211,0.151,59.714,2707.769,1.906,1.046,-7.94,-0.538,5.931,12.757,18.861,13.294,0.217,12.103,1.586,0.449,0.583,36.488
1300,1.0,0.954,263.006,35.805,48.015,10.139,9.447,0.039,0.653,249.992,34.868,2.486,7.683,0.122,0.19,0.001,772.476,12.3,19.079,0.15,60.338,2718.239,1.75,1.048,-7.94,-0.556,5.897,12.706,18.795,13.261,0.217,13.144,1.6,0.447,0.591,36.675
1400,1.0,0.952,266.299,39.041,52.355,10.27,9.565,0.04,0.665,248.928,37.779,2.7,8.342,0.134,0.206,0.002,769.188,12.347,18.958,0.149,60.963,2728.308,1.615,1.05,-7.94,-0.575,5.86,12.651,18.725,13.226,0.218,14.192,1.614,0.445,0.599,36.848
1500,1.0,0.95,269.505,42.334,56.77,10.399,9.681,0.04,0.678,247.978,40.723,2.916,9.011,0.146,0.222,0.002,766.251,12.399,18.846,0.149,61.589,2738.025,1.499,1.053,-7.94,-0.595,5.822,12.594,18.651,13.19,0.218,15.249,1.627,0.443,0.606,37.008
1600,1.0,0.948,273.52,45.829,61.457,10.558,9.825,0.041,0.692,246.328,43.699,3.136,9.69,0.158,0.238,0.002,761.153,12.415,18.682,0.148,62.217,2747.426,1.383,1.055,-7.94,-0.617,5.782,12.535,18.574,13.151,0.219,16.313,1.639,0.435,0.616,37.27
1700,1.0,0.946,276.587,49.239,66.031,10.684,9.935,0.042,0.707,245.572,46.708,3.359,10.379,0.171,0.254,0.002,758.816,12.475,18.585,0.147,62.849,2756.556,1.294,1.057,-7.94,-0.638,5.741,12.474,18.494,13.112,0.219,17.384,1.653,0.434,0.623,37.409
1800,1.0,0.944,279.596,52.703,70.675,10.808,10.043,0.043,0.722,244.892,49.75,3.585,11.078,0.184,0.271,0.002,756.718,12.538,18.494,0.147,63.482,2765.428,1.215,1.059,-7.939,-0.661,5.699,12.411,18.413,13.072,0.219,18.463,1.667,0.433,0.63,37.54
1900,1.0,0.942,283.423,56.392,75.623,10.962,10.181,0.043,0.738,243.531,52.825,3.815,11.788,0.197,0.287,0.002,752.51,12.566,18.352,0.146,64.116,2774.077,1.132,1.062,-7.939,-0.683,5.657,12.348,18.331,13.031,0.22,19.55,1.679,0.426,0.639,37.772
