Engine Speed (RPM),Throttle,Torque (Nm),Power (kW),Horsepower,CO2(g/s),CO(g/s),NOx(g/s),HC(g/s)
1000,1.0,267.3560073460433,27.997455619047614,37.54519997190239,6.779262338095236,87.75744126984124,175.5148825396825,46.07265666666665
1100,1.0,268.8139054585712,30.965138987619042,41.52492823872742,7.503485973238094,97.13250450793647,194.265009015873,50.994564866666664
1200,1.0,270.25509230207444,33.96125650285714,45.542787317764706,8.236127317714287,106.61653485714284,213.23306971428573,55.9736808
1300,1.0,271.67956787655305,36.98528316476191,49.59807317253843,8.97718637152381,116.20953231746032,232.4190646349207,61.01000446666668
1400,1.0,273.08733218200706,40.03669397333334,53.6900817665728,9.726663134666667,125.91149688888886,251.82299377777778,66.10353586666668
1500,1.0,274.47838521843624,43.11496392857143,57.818109063392015,10.484557607142857,135.72242857142854,271.44485714285713,71.25427499999999
1600,1.0,275.85272698584083,46.21956803047618,61.98145102652029,11.250869788952379,145.64232736507932,291.28465473015876,76.46222186666665
1700,1.0,277.21035748422094,49.34998127904763,66.17940361948187,12.025599680095238,155.67119326984124,311.34238653968254,81.72737646666667
1800,1.0,278.5512767135762,52.505678674285726,70.41126280580089,12.808747280571428,165.80902628571425,331.61805257142856,87.0497388
1900,1.0,279.8754846739069,55.686135216190486,74.67632454900159,13.600312590380954,176.0558264126984,352.1116528253969,92.42930886666669
2000,1.0,281.182981365213,58.89082590476192,78.97388481260818,14.400295609523814,186.41159365079366,372.82318730158744,97.86608666666669
2100,1.0,283.95835651571593,62.44570407286431,83.74105414089354,15.285121947738693,202.81229768844204,393.7526560000001,103.87946954773871
2200,1.0,286.7493589074028,66.06230982010582,88.5910015020864,16.187388662433865,220.02275851851854,414.90005892063505,110.01137925925926
2300,1.0,289.5564810048958,69.74125270352914,93.52454432550508,17.107361343098862,238.0636044508903,436.2653960634921,116.26362077834179
2400,1.0,292.38022532311584,73.48316543440232,98.54253109079029,18.045310999416913,256.9558847813411,457.8486674285715,122.63803591836736
2500,1.0,295.22110468498227,77.28870447191694,103.64584212406724,19.001514200244202,276.7210805860806,479.649873015873,129.13650427350427
2600,1.0,297.44749124171847,80.98643395385375,108.60457818674232,19.935962266470305,296.78131529373275,500.65717536507947,135.48712219931275
2700,1.0,299.6855196927663,84.73408443486305,113.63025940037957,20.885701384752036,317.67895310140636,521.8045782857143,141.94165989637307
2800,1.0,302.44662197963993,88.68198133333335,118.92447543694965,21.886044266666673,339.9773866666667,543.9638186666667,148.7401066666667
2900,1.0,305.73927640241493,92.84913225043633,124.51271590510434,22.94156331657941,363.798253240256,567.2282968888888,155.91353710296684
3000,1.0,309.0557719975875,97.0927342857143,130.20347899385047,24.018952571428574,388.65619047619055,590.7574095238095,163.2356
3100,1.0,311.5691801088089,101.14508955586568,135.6377759901645,25.055669288077645,410.29672038081844,614.3098722539684,170.2812475888772
3200,1.0,314.0856226596597,105.25110237288135,141.14402892970543,26.109166237288136,432.6179001129944,638.1114026666667,177.44093559322036
3300,1.0,316.40979858635353,109.34337686389858,146.6318584737811,27.163789555639898,455.3670870492385,661.7767241904763,184.60827853347504
3400,1.0,318.5400234558455,113.4152730571632,152.09236027512833,28.218107783835926,478.52066274207203,685.2708116825398,191.77354804548688
3500,1.0,320.6713356149882,117.53218308823529,157.61322661691736,29.28755152406417,502.343116755793,708.9672666666668,199.04161229946524
3600,1.0,322.2775664163841,121.49578020846107,162.9284969940473,30.325817185162478,526.0400650889025,731.7452845714287,206.09778669527898
3700,1.0,323.88183107596876,125.4922563405351,168.28785884475676,31.37661350130709,550.3600167543184,754.6634030476191,213.23912088266954
3800,1.0,325.35183517100404,129.46890512598992,173.62063179025066,32.427725290856735,575.0936394624429,777.4258542222224,220.3825990640749
3900,1.0,326.6864325003415,133.421040528169,178.92053175294217,33.47817849295774,600.2236532394363,800.009288,227.52160140845066
4000,1.0,328.0177633706451,137.39975942028983,184.256080756725,34.540057318840574,625.968676328502,822.7016888888888,234.73825362318834
4100,1.0,328.4256034968155,141.00985997017327,189.0973045060658,35.52097151006329,648.3439460089221,844.2265850158732,241.40466074800295
4200,1.0,328.8218336765236,144.62339598253283,193.94313528568165,36.50813837772927,671.088109985444,865.7981813333338,248.1135617903931
