Engine Speed (RPM),Throttle,Torque (Nm),Power (kW),Horsepower,CO2(g/s),CO(g/s),NOx(g/s),HC(g/s)
1000,1.0,267.3560073460433,27.997455619047614,37.54519997190239,0.006779262338095236,8.775744126984123e-05,0.0001755148825396825,4.607265666666665e-05
1100,1.0,268.8139054585712,30.965138987619042,41.52492823872742,0.007503485973238094,9.713250450793648e-05,0.000194265009015873,5.099456486666666e-05
1200,1.0,270.25509230207444,33.96125650285714,45.542787317764706,0.008236127317714287,0.00010661653485714284,0.00021323306971428573,5.59736808e-05
1300,1.0,271.67956787655305,36.98528316476191,49.59807317253843,0.00897718637152381,0.0001162095323174603,0.00023241906463492066,6.101000446666667e-05
1400,1.0,273.08733218200706,40.03669397333334,53.6900817665728,0.009726663134666667,0.00012591149688888887,0.0002518229937777778,6.610353586666667e-05
1500,1.0,274.47838521843624,43.11496392857143,57.818109063392015,0.010484557607142857,0.00013572242857142855,0.00027144485714285715,7.125427499999999e-05
1600,1.0,275.85272698584083,46.21956803047618,61.98145102652029,0.01125086978895238,0.00014564232736507935,0.0002912846547301587,7.646222186666665e-05
1700,1.0,277.21035748422094,49.34998127904763,66.17940361948187,0.012025599680095238,0.00015567119326984126,0.0003113423865396826,8.172737646666666e-05
1800,1.0,278.5512767135762,52.505678674285726,70.41126280580089,0.012808747280571428,0.00016580902628571427,0.0003316180525714286,8.704973879999999e-05
1900,1.0,279.8754846739069,55.686135216190486,74.67632454900159,0.013600312590380954,0.0001760558264126984,0.0003521116528253969,9.242930886666668e-05
2000,1.0,281.182981365213,58.89082590476192,78.97388481260818,0.014400295609523814,0.00018641159365079366,0.0003728231873015874,9.78660866666667e-05
2100,1.0,283.95835651571593,62.44570407286431,83.74105414089354,0.015285121947738694,0.0002028122976884421,0.00039375265600000007,0.0001038794695477387
2200,1.0,286.7493589074028,66.06230982010582,88.5910015020864,0.016187388662433865,0.00022002275851851853,0.000414900058920635,0.00011001137925925927
2300,1.0,289.5564810048958,69.74125270352914,93.52454432550508,0.017107361343098863,0.00023806360445089033,0.0004362653960634921,0.00011626362077834178
2400,1.0,292.38022532311584,73.48316543440232,98.54253109079029,0.018045310999416912,0.00025695588478134114,0.00045784866742857146,0.00012263803591836735
2500,1.0,295.22110468498227,77.28870447191694,103.64584212406724,0.0190015142002442,0.00027672108058608057,0.000479649873015873,0.00012913650427350427
2600,1.0,297.44749124171847,80.98643395385375,108.60457818674232,0.019935962266470306,0.0002967813152937328,0.0005006571753650796,0.00013548712219931276
2700,1.0,299.6855196927663,84.73408443486305,113.63025940037957,0.020885701384752035,0.0003176789531014064,0.0005218045782857144,0.00014194165989637306
2800,1.0,302.44662197963993,88.68198133333335,118.92447543694965,0.02188604426666667,0.00033997738666666677,0.0005439638186666667,0.00014874010666666667
2900,1.0,305.73927640241493,92.84913225043633,124.51271590510434,0.022941563316579407,0.000363798253240256,0.0005672282968888889,0.00015591353710296682
3000,1.0,309.0557719975875,97.0927342857143,130.20347899385047,0.024018952571428574,0.00038865619047619057,0.0005907574095238096,0.0001632356
3100,1.0,311.5691801088089,101.14508955586568,135.6377759901645,0.025055669288077644,0.00041029672038081846,0.0006143098722539684,0.00017028124758887718
3200,1.0,314.0856226596597,105.25110237288135,141.14402892970543,0.026109166237288137,0.0004326179001129944,0.0006381114026666667,0.00017744093559322034
3300,1.0,316.40979858635353,109.34337686389858,146.6318584737811,0.0271637895556399,0.0004553670870492385,0.0006617767241904763,0.00018460827853347504
3400,1.0,318.5400234558455,113.4152730571632,152.09236027512833,0.028218107783835926,0.00047852066274207207,0.0006852708116825397,0.00019177354804548688
3500,1.0,320.6713356149882,117.53218308823529,157.61322661691736,0.02928755152406417,0.000502343116755793,0.0007089672666666666,0.0001990416122994652
3600,1.0,322.2775664163841,121.49578020846107,162.9284969940473,0.030325817185162477,0.0005260400650889023,0.0007317452845714287,0.00020609778669527896
