Engine Speed (RPM),Throttle,Torque (Nm),Power (kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP (bar),BMEP (bar),PMEP (bar),FMEP (bar),BSFC (g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2 (g/kWh),CO (g/kWh),NOx (g/kWh),HC (g/kWh)
1000,1.0,246.993,25.865,34.686,22.569,1.535,9.579,8.872,0.065,0.642,213.686,4.744,0.061,0.123,0.001,660.29,8.547,17.095,0.128
1100,1.0,249.934,28.79,38.609,25.118,1.709,9.697,8.978,0.068,0.65,213.663,5.28,0.068,0.137,0.001,660.219,8.547,17.093,0.128
1200,1.0,252.874,31.777,42.614,27.723,1.886,9.815,9.083,0.072,0.66,213.656,5.828,0.075,0.151,0.001,660.198,8.546,17.093,0.128
1300,1.0,255.812,34.825,46.701,30.384,2.067,9.934,9.189,0.076,0.67,213.665,6.387,0.083,0.165,0.001,660.225,8.547,17.093,0.128
1400,1.0,258.749,37.935,50.871,33.1,2.252,10.055,9.294,0.079,0.681,213.688,6.958,0.09,0.18,0.001,660.297,8.548,17.095,0.128
1500,1.0,261.684,41.105,55.123,35.873,2.44,10.175,9.4,0.082,0.693,213.727,7.541,0.098,0.195,0.001,660.416,8.549,17.098,0.128
1600,1.0,264.617,44.337,59.457,38.703,2.633,10.297,9.505,0.086,0.706,213.78,8.136,0.105,0.211,0.002,660.581,8.551,17.102,0.128
1700,1.0,267.548,47.63,63.873,41.591,2.829,10.419,9.61,0.09,0.719,213.847,8.743,0.113,0.226,0.002,660.788,8.554,17.108,0.128
1800,1.0,270.479,50.984,68.371,44.536,3.03,10.542,9.716,0.093,0.734,213.927,9.362,0.121,0.242,0.002,661.035,8.557,17.114,0.128
1900,1.0,273.407,54.399,72.95,47.54,3.234,10.666,9.821,0.096,0.749,214.02,9.993,0.129,0.259,0.002,661.322,8.561,17.122,0.128
2000,1.0,276.333,57.875,77.612,50.603,3.442,10.791,9.926,0.1,0.765,214.126,10.637,0.138,0.275,0.002,661.648,8.565,17.13,0.128
2100,1.0,279.783,61.528,82.51,53.584,3.664,10.935,10.05,0.104,0.781,214.353,11.32,0.15,0.292,0.002,662.351,8.788,17.063,0.129
2200,1.0,283.257,65.258,87.512,56.61,3.89,11.081,10.175,0.107,0.799,214.592,12.02,0.163,0.308,0.002,663.089,9.013,16.996,0.129
2300,1.0,286.756,69.067,92.62,59.681,4.122,11.228,10.3,0.11,0.817,214.842,12.736,0.177,0.325,0.002,663.86,9.238,16.93,0.129
2400,1.0,290.281,72.955,97.835,62.797,4.359,11.377,10.427,0.114,0.836,215.101,13.47,0.192,0.342,0.003,664.663,9.464,16.864,0.129
2500,1.0,293.831,76.925,103.158,65.959,4.602,11.528,10.554,0.118,0.856,215.371,14.22,0.207,0.359,0.003,665.497,9.692,16.799,0.129
2600,1.0,296.726,80.79,108.341,69.027,4.841,11.657,10.658,0.121,0.877,215.711,14.958,0.223,0.376,0.003,666.547,9.923,16.739,0.129
2700,1.0,299.638,84.721,113.612,72.129,5.085,11.786,10.763,0.124,0.899,216.061,15.712,0.239,0.393,0.003,667.628,10.155,16.68,0.13
2800,1.0,303.123,88.88,119.19,75.386,5.342,11.937,10.888,0.128,0.921,216.371,16.507,0.256,0.41,0.003,668.587,10.386,16.617,0.13
2900,1.0,307.192,93.29,125.104,78.813,5.614,12.11,11.034,0.132,0.944,216.641,17.347,0.275,0.429,0.003,669.421,10.615,16.551,0.13
3000,1.0,311.298,97.797,131.148,82.293,5.893,12.285,11.182,0.135,0.968,216.919,18.209,0.295,0.448,0.004,670.28,10.846,16.486,0.13
3100,1.0,314.648,102.145,136.978,85.793,6.163,12.434,11.302,0.138,0.993,217.206,19.043,0.312,0.467,0.004,671.167,10.991,16.456,0.13
3200,1.0,318.012,106.567,142.909,89.345,6.438,12.584,11.423,0.142,1.019,217.501,19.895,0.33,0.486,0.004,672.079,11.136,16.426,0.131
3300,1.0,321.175,110.99,148.84,92.895,6.716,12.728,11.537,0.146,1.045,217.823,20.751,0.348,0.506,0.004,673.074,11.283,16.398,0.131
