Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
4400,1.0,345.814,159.34,213.678,129.663,9.889,13.996,12.422,0.184,1.39,223.414,30.556,0.609,0.706,0.006,690.35,13.762,15.943,0.134,66.259,3032.844
4500,1.0,345.485,162.806,218.327,132.609,10.136,14.023,12.41,0.187,1.426,224.129,31.32,0.628,0.722,0.006,692.56,13.896,15.958,0.134,66.365,3037.397
4600,1.0,344.908,166.146,222.805,135.48,10.379,14.043,12.389,0.191,1.463,224.883,32.07,0.648,0.737,0.006,694.889,14.033,15.976,0.135,66.44,3042.181
4700,1.0,344.31,169.464,227.254,138.346,10.622,14.063,12.368,0.194,1.501,225.654,32.823,0.667,0.753,0.006,697.271,14.171,15.994,0.135,66.516,3046.985
4800,1.0,343.692,172.759,231.673,141.21,10.867,14.083,12.345,0.198,1.539,226.443,33.578,0.687,0.768,0.007,699.708,14.311,16.014,0.136,66.591,3051.807
4900,1.0,343.054,176.03,236.061,144.07,11.112,14.103,12.323,0.202,1.579,227.249,34.336,0.707,0.784,0.007,702.2,14.453,16.035,0.136,66.667,3056.645
5000,1.0,342.396,179.278,240.416,146.927,11.358,14.123,12.299,0.205,1.619,228.074,35.096,0.727,0.8,0.007,704.749,14.597,16.056,0.137,66.744,3061.501
5100,1.0,340.925,182.078,244.171,149.78,11.579,14.115,12.246,0.208,1.66,228.928,35.778,0.741,0.815,0.007,707.389,14.651,16.117,0.137,66.711,3061.712
5200,1.0,339.431,184.835,247.868,152.63,11.799,14.106,12.192,0.212,1.702,229.805,36.459,0.755,0.831,0.007,710.098,14.708,16.178,0.138,66.679,3061.924
5300,1.0,337.915,187.548,251.506,155.477,12.019,14.098,12.138,0.215,1.745,230.705,37.139,0.769,0.846,0.007,712.879,14.765,16.242,0.138,66.646,3062.135
5400,1.0,336.376,190.216,255.084,158.321,12.239,14.09,12.083,0.219,1.788,231.629,37.818,0.783,0.862,0.007,715.733,14.824,16.307,0.139,66.613,3062.347
5500,1.0,334.814,192.839,258.602,161.161,12.458,14.081,12.027,0.222,1.832,232.577,38.496,0.797,0.877,0.007,718.662,14.885,16.373,0.14,66.581,3062.559
5600,1.0,333.23,195.417,262.058,163.998,12.678,14.073,11.97,0.226,1.877,233.549,39.174,0.811,0.893,0.008,721.667,14.947,16.442,0.14,66.548,3062.771
