Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
1000,1.0,277.942,29.106,39.032,25.076,1.706,10.691,9.984,0.065,0.642,210.992,5.271,0.068,0.136,0.001,651.965,8.44,16.879,0.127,53.416,2877.787
1100,1.0,279.53,32.199,43.18,27.755,1.888,10.76,10.041,0.068,0.65,211.096,5.834,0.076,0.151,0.001,652.286,8.444,16.888,0.127,53.687,2874.973
1200,1.0,281.095,35.323,47.37,30.465,2.072,10.829,10.097,0.072,0.66,211.215,6.404,0.083,0.166,0.001,652.655,8.449,16.897,0.127,53.958,2872.195
1300,1.0,282.639,38.477,51.599,33.206,2.259,10.898,10.152,0.076,0.67,211.35,6.98,0.09,0.181,0.001,653.072,8.454,16.908,0.127,54.229,2869.452
1400,1.0,284.16,41.66,55.867,35.979,2.448,10.967,10.207,0.079,0.681,211.5,7.563,0.098,0.196,0.001,653.535,8.46,16.92,0.127,54.501,2866.743
1500,1.0,285.658,44.871,60.173,38.782,2.638,11.037,10.261,0.082,0.693,211.665,8.152,0.106,0.211,0.002,654.044,8.467,16.933,0.127,54.773,2864.069
1600,1.0,287.136,48.11,64.517,41.617,2.831,11.106,10.314,0.086,0.706,211.844,8.748,0.113,0.226,0.002,654.597,8.474,16.947,0.127,55.044,2861.434
1700,1.0,288.591,51.376,68.896,44.482,3.026,11.175,10.366,0.09,0.719,212.037,9.35,0.121,0.242,0.002,655.194,8.481,16.963,0.127,55.316,2858.837
1800,1.0,290.025,54.668,73.312,47.379,3.223,11.244,10.418,0.093,0.734,212.244,9.959,0.129,0.258,0.002,655.834,8.49,16.98,0.127,55.588,2856.272
1900,1.0,291.436,57.986,77.761,50.307,3.422,11.314,10.468,0.096,0.749,212.466,10.575,0.137,0.274,0.002,656.519,8.499,16.997,0.127,55.86,2853.738
2000,1.0,292.825,61.329,82.244,53.266,3.624,11.383,10.518,0.1,0.765,212.702,11.197,0.145,0.29,0.002,657.248,8.508,17.016,0.128,56.132,2851.234
2100,1.0,295.614,65.009,87.178,56.256,3.846,11.503,10.618,0.104,0.781,212.991,11.885,0.158,0.306,0.002,658.142,8.733,16.954,0.128,56.6,2858.084
2200,1.0,298.412,68.749,92.194,59.278,4.073,11.625,10.719,0.107,0.799,213.292,12.586,0.171,0.323,0.002,659.072,8.958,16.893,0.128,57.072,2865.052
2300,1.0,301.218,72.55,97.291,62.33,4.305,11.748,10.82,0.11,0.817,213.604,13.302,0.185,0.339,0.003,660.038,9.185,16.832,0.128,57.548,2872.138
2400,1.0,304.034,76.412,102.47,65.414,4.541,11.871,10.921,0.114,0.836,213.928,14.031,0.2,0.356,0.003,661.037,9.413,16.772,0.128,58.028,2879.341
2500,1.0,306.859,80.336,107.732,68.529,4.781,11.996,11.022,0.118,0.856,214.262,14.774,0.215,0.373,0.003,662.071,9.642,16.712,0.129,58.513,2886.663
2600,1.0,308.987,84.128,112.818,71.53,5.016,12.097,11.099,0.121,0.877,214.665,15.501,0.231,0.389,0.003,663.314,9.875,16.658,0.129,58.903,2894.93
2700,1.0,311.118,87.967,117.965,74.552,5.255,12.199,11.175,0.124,0.899,215.078,16.239,0.247,0.406,0.003,664.593,10.109,16.604,0.129,59.297,2903.301
2800,1.0,313.826,92.018,123.399,77.717,5.507,12.322,11.273,0.128,0.921,215.456,17.017,0.264,0.423,0.003,665.758,10.342,16.547,0.129,59.774,2911.127
2900,1.0,317.118,96.305,129.147,81.041,5.773,12.467,11.391,0.132,0.944,215.795,17.838,0.283,0.441,0.003,666.806,10.574,16.487,0.129,60.338,2918.434
3000,1.0,320.426,100.665,134.994,84.403,6.044,12.613,11.51,0.135,0.968,216.143,18.676,0.302,0.459,0.004,667.883,10.807,16.427,0.13,60.906,2925.877
3100,1.0,322.94,104.836,140.588,87.768,6.305,12.732,11.6,0.138,0.993,216.501,19.482,0.319,0.478,0.004,668.987,10.955,16.402,0.13,61.368,2929.512
3200,1.0,325.451,109.06,146.251,91.169,6.57,12.851,11.69,0.142,1.019,216.867,20.301,0.336,0.496,0.004,670.12,11.104,16.378,0.13,61.833,2933.217
3300,1.0,327.74,113.259,151.882,94.55,6.835,12.963,11.772,0.146,1.045,217.262,21.121,0.354,0.515,0.004,671.34,11.254,16.355,0.13,62.269,2937.214
3400,1.0,329.805,117.426,157.471,97.906,7.101,13.068,11.847,0.149,1.073,217.685,21.941,0.372,0.533,0.004,672.647,11.407,16.335,0.131,62.677,2941.497
3500,1.0,331.864,121.635,163.115,101.292,7.37,13.174,11.921,0.152,1.101,218.118,22.772,0.391,0.551,0.004,673.984,11.56,16.315,0.131,63.088,2945.836
3600,1.0,333.331,125.663,168.516,104.546,7.631,13.259,11.973,0.156,1.13,218.611,23.579,0.409,0.569,0.005,675.507,11.718,16.3,0.131,63.418,2950.815
3700,1.0,334.788,129.718,173.955,107.821,7.895,13.344,12.026,0.159,1.159,219.114,24.396,0.428,0.587,0.005,677.063,11.876,16.285,0.131,63.75,2955.846
3800,1.0,336.09,133.742,179.351,111.073,8.16,13.425,12.072,0.163,1.19,219.642,25.214,0.447,0.604,0.005,678.693,12.036,16.271,0.132,64.063,2961.066
3900,1.0,337.233,137.728,184.697,114.299,8.424,13.501,12.113,0.166,1.221,220.193,26.031,0.467,0.622,0.005,680.397,12.199,16.259,0.132,64.357,2966.473
4000,1.0,338.367,141.735,190.069,117.541,8.691,13.577,12.154,0.17,1.253,220.756,26.856,0.487,0.64,0.005,682.135,12.362,16.248,0.132,64.653,2971.922
4100,1.0,338.528,145.347,194.914,120.617,8.938,13.62,12.16,0.174,1.286,221.382,27.619,0.504,0.656,0.005,684.071,12.486,16.258,0.133,64.816,2975.814
4200,1.0,338.672,148.956,199.753,123.699,9.187,13.662,12.165,0.177,1.32,222.023,28.386,0.522,0.673,0.006,686.05,12.611,16.27,0.133,64.98,2979.726
4300,1.0,338.575,152.458,204.45,126.716,9.431,13.697,12.162,0.18,1.355,222.699,29.142,0.539,0.69,0.006,688.139,12.738,16.284,0.134,65.113,2983.867
4400,1.0,338.234,155.847,208.994,129.663,9.672,13.723,12.149,0.184,1.39,223.412,29.886,0.557,0.706,0.006,690.344,12.869,16.3,0.134,65.215,2988.236
4500,1.0,337.873,159.219,213.516,132.609,9.913,13.75,12.136,0.187,1.426,224.142,30.632,0.575,0.722,0.006,692.599,13.0,16.318,0.134,65.317,2992.622
