Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
1000,1.0,253.738,26.571,35.633,25.076,1.551,9.821,9.114,0.065,0.642,210.107,4.792,0.031,0.112,0.001,649.231,4.202,15.128,0.126,50.102,2707.526
1100,1.0,257.418,29.652,39.765,27.755,1.732,9.965,9.246,0.068,0.65,210.301,5.353,0.038,0.126,0.001,649.83,4.627,15.31,0.126,50.659,2720.456
1200,1.0,261.144,32.816,44.007,30.465,1.919,10.112,9.38,0.072,0.66,210.511,5.93,0.046,0.141,0.001,650.479,5.052,15.494,0.126,51.225,2733.687
1300,1.0,264.916,36.065,48.363,33.206,2.111,10.262,9.516,0.076,0.67,210.737,6.523,0.055,0.157,0.001,651.177,5.479,15.679,0.126,51.801,2747.226
1400,1.0,268.739,39.399,52.835,35.979,2.309,10.413,9.653,0.079,0.681,210.978,7.135,0.065,0.174,0.001,651.921,5.907,15.866,0.127,52.387,2761.082
1500,1.0,272.613,42.822,57.425,38.782,2.513,10.568,9.792,0.082,0.693,211.232,7.764,0.075,0.191,0.002,652.707,6.337,16.054,0.127,52.984,2775.266
1600,1.0,276.54,46.335,62.136,41.617,2.722,10.725,9.933,0.086,0.706,211.5,8.412,0.087,0.209,0.002,653.536,6.768,16.243,0.127,53.59,2789.777
1700,1.0,280.523,49.94,66.97,44.482,2.938,10.885,10.076,0.09,0.719,211.782,9.078,0.1,0.228,0.002,654.407,7.201,16.434,0.127,54.208,2804.618
1800,1.0,284.562,53.639,71.931,47.379,3.16,11.048,10.222,0.093,0.734,212.077,9.764,0.114,0.248,0.002,655.317,7.635,16.627,0.127,54.838,2819.802
1900,1.0,288.663,57.435,77.021,50.307,3.388,11.214,10.369,0.096,0.749,212.383,10.47,0.129,0.268,0.002,656.264,8.071,16.821,0.127,55.479,2835.342
2000,1.0,292.825,61.329,82.244,53.266,3.624,11.383,10.518,0.1,0.765,212.702,11.197,0.145,0.29,0.002,657.248,8.508,17.016,0.128,56.132,2851.234
2100,1.0,295.614,65.009,87.178,56.256,3.846,11.503,10.618,0.104,0.781,212.991,11.885,0.158,0.306,0.002,658.142,8.733,16.954,0.128,56.6,2858.084
2200,1.0,298.412,68.749,92.194,59.278,4.073,11.625,10.719,0.107,0.799,213.292,12.586,0.171,0.323,0.002,659.072,8.958,16.893,0.128,57.072,2865.052
2300,1.0,301.218,72.55,97.291,62.33,4.305,11.748,10.82,0.11,0.817,213.604,13.302,0.185,0.339,0.003,660.038,9.185,16.832,0.128,57.548,2872.138
2400,1.0,304.034,76.412,102.47,65.414,4.541,11.871,10.921,0.114,0.836,213.928,14.031,0.2,0.356,0.003,661.037,9.413,16.772,0.128,58.028,2879.341
2500,1.0,306.859,80.336,107.732,68.529,4.781,11.996,11.022,0.118,0.856,214.262,14.774,0.215,0.373,0.003,662.071,9.642,16.712,0.129,58.513,2886.663
2600,1.0,308.987,84.128,112.818,71.53,5.016,12.097,11.099,0.121,0.877,214.665,15.501,0.231,0.389,0.003,663.314,9.875,16.658,0.129,58.903,2894.93
2700,1.0,311.118,87.967,117.965,74.552,5.255,12.199,11.175,0.124,0.899,215.078,16.239,0.247,0.406,0.003,664.593,10.109,16.604,0.129,59.297,2903.301
2800,1.0,313.826,92.018,123.399,77.717,5.507,12.322,11.273,0.128,0.921,215.456,17.017,0.264,0.423,0.003,665.758,10.342,16.547,0.129,59.774,2911.127
2900,1.0,317.118,96.305,129.147,81.041,5.773,12.467,11.391,0.132,0.944,215.795,17.838,0.283,0.441,0.003,666.806,10.574,16.487,0.129,60.338,2918.434
3000,1.0,320.426,100.665,134.994,84.403,6.044,12.613,11.51,0.135,0.968,216.143,18.676,0.302,0.459,0.004,667.883,10.807,16.427,0.13,60.906,2925.877
3100,1.0,323.606,105.052,140.878,87.768,6.318,12.756,11.624,0.138,0.993,216.513,19.523,0.322,0.478,0.004,669.024,11.042,16.368,0.13,61.46,2933.61
3200,1.0,326.801,109.512,146.858,91.169,6.598,12.9,11.739,0.142,1.019,216.891,20.387,0.343,0.496,0.004,670.192,11.278,16.31,0.13,62.018,2941.475
3300,1.0,329.792,113.968,152.834,94.55,6.879,13.037,11.846,0.146,1.045,217.295,21.256,0.365,0.515,0.004,671.443,11.517,16.254,0.13,62.552,2949.695
