Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
1000,1.0,299.303,31.343,42.032,27.765,1.799,11.458,10.751,0.065,0.642,206.613,5.558,0.054,0.137,0.001,638.435,6.198,15.703,0.124,55.295,2750.19
1100,1.0,302.406,34.835,46.714,30.731,2.001,11.581,10.862,0.068,0.65,206.747,6.182,0.062,0.153,0.001,638.85,6.409,15.796,0.124,55.754,2755.982
1200,1.0,305.516,38.392,51.485,33.732,2.206,11.706,10.974,0.072,0.66,206.895,6.818,0.071,0.169,0.001,639.306,6.621,15.89,0.124,56.218,2761.886
1300,1.0,308.635,42.016,56.345,36.767,2.417,11.832,11.086,0.076,0.67,207.056,7.467,0.08,0.187,0.001,639.803,6.833,15.985,0.124,56.686,2767.903
1400,1.0,311.762,45.707,61.294,39.837,2.631,11.959,11.199,0.079,0.681,207.229,8.13,0.089,0.204,0.002,640.339,7.046,16.081,0.124,57.158,2774.032
1500,1.0,314.898,49.464,66.332,42.941,2.85,12.087,11.311,0.082,0.693,207.416,8.806,0.1,0.222,0.002,640.914,7.26,16.178,0.124,57.634,2780.273
1600,1.0,318.043,53.289,71.461,46.079,3.073,12.216,11.424,0.086,0.706,207.614,9.496,0.111,0.241,0.002,641.527,7.474,16.277,0.125,58.114,2786.626
1700,1.0,321.197,57.181,76.681,49.252,3.301,12.346,11.537,0.09,0.719,207.824,10.2,0.122,0.26,0.002,642.176,7.689,16.377,0.125,58.599,2793.092
1800,1.0,324.362,61.141,81.991,52.46,3.533,12.478,11.651,0.093,0.734,208.045,10.918,0.134,0.28,0.002,642.861,7.906,16.477,0.125,59.088,2799.671
1900,1.0,327.538,65.169,87.394,55.702,3.77,12.61,11.765,0.096,0.749,208.278,11.65,0.147,0.3,0.002,643.58,8.123,16.579,0.125,59.581,2806.363
2000,1.0,330.724,69.267,92.888,58.978,4.012,12.744,11.88,0.1,0.765,208.522,12.397,0.16,0.321,0.002,644.333,8.341,16.682,0.125,60.079,2813.169
2100,1.0,333.921,73.433,98.475,62.289,4.259,12.879,11.994,0.104,0.781,208.776,13.159,0.175,0.339,0.003,645.119,8.56,16.619,0.125,60.581,2820.089
2200,1.0,337.132,77.67,104.157,65.634,4.51,13.016,12.11,0.107,0.799,209.04,13.936,0.189,0.357,0.003,645.935,8.78,16.556,0.125,61.088,2827.128
2300,1.0,340.355,81.976,109.932,69.014,4.766,13.153,12.226,0.11,0.817,209.314,14.728,0.205,0.376,0.003,646.782,9.001,16.494,0.126,61.599,2834.285
2400,1.0,343.591,86.354,115.802,72.429,5.028,13.292,12.342,0.114,0.836,209.598,15.535,0.221,0.394,0.003,647.658,9.222,16.432,0.126,62.116,2841.558
2500,1.0,346.84,90.803,121.768,75.877,5.294,13.433,12.459,0.118,0.856,209.891,16.359,0.238,0.413,0.003,648.564,9.445,16.372,0.126,62.637,2848.947
2600,1.0,349.308,95.107,127.54,79.201,5.554,13.545,12.547,0.121,0.877,210.247,17.163,0.256,0.431,0.003,649.665,9.671,16.315,0.126,63.055,2857.235
2700,1.0,351.784,99.464,133.384,82.546,5.819,13.659,12.636,0.124,0.899,210.613,17.981,0.273,0.449,0.003,650.795,9.899,16.259,0.126,63.478,2865.622
2800,1.0,354.908,104.064,139.553,86.051,6.098,13.798,12.748,0.128,0.921,210.945,18.842,0.293,0.468,0.004,651.821,10.125,16.201,0.127,63.991,2873.494
2900,1.0,358.69,108.93,146.077,89.732,6.392,13.96,12.884,0.132,0.944,211.242,19.751,0.313,0.488,0.004,652.739,10.351,16.139,0.127,64.596,2880.873
3000,1.0,362.493,113.881,152.716,93.454,6.692,14.124,13.021,0.135,0.968,211.548,20.678,0.335,0.509,0.004,653.683,10.577,16.078,0.127,65.206,2888.382
3100,1.0,366.154,118.865,159.401,97.18,6.996,14.284,13.152,0.138,0.993,211.872,21.616,0.357,0.529,0.004,654.686,10.805,16.018,0.127,65.8,2896.173
3200,1.0,369.836,123.933,166.197,100.945,7.305,14.446,13.285,0.142,1.019,212.204,22.573,0.38,0.549,0.004,655.711,11.035,15.958,0.127,66.4,2904.107
